ref,fileName,date,description,status,publicScore,privateScore
56174913,KAP12_U040_S683731_1000.csv,2026-09-12 00:27:04.897000,envios=1000 semilla=683731,SubmissionStatus.COMPLETE,19.238,
56174922,KAP12_U040_S683731_1050.csv,2026-09-12 00:27:36.977000,envios=1050 semilla=683731,SubmissionStatus.COMPLETE,18.238,
56174931,KAP12_U040_S683731_1100.csv,2026-09-12 00:28:08.970000,envios=1100 semilla=683731,SubmissionStatus.COMPLETE,16.656,
56174939,KAP12_U040_S683731_1150.csv,2026-09-12 00:28:40.900000,envios=1150 semilla=683731,SubmissionStatus.COMPLETE,15.657,
56174948,KAP12_U040_S683731_1200.csv,2026-09-12 00:29:12.850000,envios=1200 semilla=683731,SubmissionStatus.COMPLETE,14.074,
56174953,KAP12_U040_S683731_1250.csv,2026-09-12 00:29:44.847000,envios=1250 semilla=683731,SubmissionStatus.COMPLETE,13.075,
56174961,KAP12_U040_S683731_1300.csv,2026-09-12 00:30:16.863000,envios=1300 semilla=683731,SubmissionStatus.COMPLETE,11.909,
56174880,KAP12_U040_S683731_800.csv,2026-09-12 00:24:56.687000,envios=800 semilla=683731,SubmissionStatus.COMPLETE,17.489,
56174888,KAP12_U040_S683731_850.csv,2026-09-12 00:25:28.770000,envios=850 semilla=683731,SubmissionStatus.COMPLETE,22.986,
56174897,KAP12_U040_S683731_900.csv,2026-09-12 00:26:00.780000,envios=900 semilla=683731,SubmissionStatus.COMPLETE,21.653,
56174906,KAP12_U040_S683731_950.csv,2026-09-12 00:26:32.937000,envios=950 semilla=683731,SubmissionStatus.COMPLETE,20.154,
