escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,683731,800,17.406,NO,KAP12_B100_S683731_800.csv,2026-09-11 19:30:06.827000,56171702
B100,100%,683731,850,22.902,SI,KAP12_B100_S683731_850.csv,2026-09-11 19:30:39.137000,56171709
B100,100%,683731,900,21.57,NO,KAP12_B100_S683731_900.csv,2026-09-11 19:31:11.300000,56171719
B100,100%,683731,950,20.57,NO,KAP12_B100_S683731_950.csv,2026-09-11 19:31:43.477000,56171730
B100,100%,683731,1000,19.071,NO,KAP12_B100_S683731_1000.csv,2026-09-11 19:32:15.640000,56171738
B100,100%,683731,1050,17.655,NO,KAP12_B100_S683731_1050.csv,2026-09-11 19:32:47.757000,56171741
B100,100%,683731,1100,16.656,NO,KAP12_B100_S683731_1100.csv,2026-09-11 19:33:19.903000,56171744
B100,100%,683731,1150,15.324,NO,KAP12_B100_S683731_1150.csv,2026-09-11 19:33:52.037000,56171753
B100,100%,683731,1200,13.824,NO,KAP12_B100_S683731_1200.csv,2026-09-11 19:34:24.317000,56171759
B100,100%,683731,1250,12.825,NO,KAP12_B100_S683731_1250.csv,2026-09-11 19:34:56.410000,56171763
B100,100%,683731,1300,11.493,NO,KAP12_B100_S683731_1300.csv,2026-09-11 19:35:28.557000,56171770
U040,40%,683731,800,17.489,NO,KAP12_U040_S683731_800.csv,2026-09-12 00:24:56.687000,56174880
U040,40%,683731,850,22.986,SI,KAP12_U040_S683731_850.csv,2026-09-12 00:25:28.770000,56174888
U040,40%,683731,900,21.653,NO,KAP12_U040_S683731_900.csv,2026-09-12 00:26:00.780000,56174897
U040,40%,683731,950,20.154,NO,KAP12_U040_S683731_950.csv,2026-09-12 00:26:32.937000,56174906
U040,40%,683731,1000,19.238,NO,KAP12_U040_S683731_1000.csv,2026-09-12 00:27:04.897000,56174913
U040,40%,683731,1050,18.238,NO,KAP12_U040_S683731_1050.csv,2026-09-12 00:27:36.977000,56174922
U040,40%,683731,1100,16.656,NO,KAP12_U040_S683731_1100.csv,2026-09-12 00:28:08.970000,56174931
U040,40%,683731,1150,15.657,NO,KAP12_U040_S683731_1150.csv,2026-09-12 00:28:40.900000,56174939
U040,40%,683731,1200,14.074,NO,KAP12_U040_S683731_1200.csv,2026-09-12 00:29:12.850000,56174948
U040,40%,683731,1250,13.075,NO,KAP12_U040_S683731_1250.csv,2026-09-12 00:29:44.847000,56174953
U040,40%,683731,1300,11.909,NO,KAP12_U040_S683731_1300.csv,2026-09-12 00:30:16.863000,56174961
U010,10%,683731,800,17.739,NO,KAP12_U010_S683731_800.csv,2026-09-12 00:30:48.790000,56174970
U010,10%,683731,850,22.902,SI,KAP12_U010_S683731_850.csv,2026-09-12 00:31:20.773000,56174979
U010,10%,683731,900,21.653,NO,KAP12_U010_S683731_900.csv,2026-09-12 00:31:52.657000,56174987
U010,10%,683731,950,20.071,NO,KAP12_U010_S683731_950.csv,2026-09-12 00:32:24.700000,56174996
U010,10%,683731,1000,18.738,NO,KAP12_U010_S683731_1000.csv,2026-09-12 00:32:56.717000,56175002
U010,10%,683731,1050,17.739,NO,KAP12_U010_S683731_1050.csv,2026-09-12 00:33:28.760000,56175011
U010,10%,683731,1100,19.821,NO,KAP12_U010_S683731_1100.csv,2026-09-12 00:34:00.743000,56175019
U010,10%,683731,1150,18.655,NO,KAP12_U010_S683731_1150.csv,2026-09-12 00:34:32.963000,56175030
U010,10%,683731,1200,17.655,NO,KAP12_U010_S683731_1200.csv,2026-09-12 00:35:04.990000,56175037
U010,10%,683731,1250,19.571,NO,KAP12_U010_S683731_1250.csv,2026-09-12 00:35:37.003000,56175042
U010,10%,683731,1300,21.57,NO,KAP12_U010_S683731_1300.csv,2026-09-12 00:36:09.117000,56175048
U005,5%,683731,800,17.406,NO,KAP12_U005_S683731_800.csv,2026-09-12 00:36:41.173000,56175057
U005,5%,683731,850,19.071,NO,KAP12_U005_S683731_850.csv,2026-09-12 00:37:13.280000,56175068
U005,5%,683731,900,17.989,NO,KAP12_U005_S683731_900.csv,2026-09-12 00:37:45.337000,56175075
U005,5%,683731,950,20.237,NO,KAP12_U005_S683731_950.csv,2026-09-12 00:38:17.263000,56175083
U005,5%,683731,1000,18.821,NO,KAP12_U005_S683731_1000.csv,2026-09-12 00:38:49.423000,56175093
U005,5%,683731,1050,17.905,NO,KAP12_U005_S683731_1050.csv,2026-09-12 00:39:21.427000,56175100
U005,5%,683731,1100,19.904,NO,KAP12_U005_S683731_1100.csv,2026-09-12 00:39:53.390000,56175108
U005,5%,683731,1150,22.069,SI,KAP12_U005_S683731_1150.csv,2026-09-12 00:40:25.340000,56175121
U005,5%,683731,1200,20.987,NO,KAP12_U005_S683731_1200.csv,2026-09-12 00:40:57.447000,56175126
U005,5%,683731,1250,19.488,NO,KAP12_U005_S683731_1250.csv,2026-09-12 00:41:29.563000,56175132
U005,5%,683731,1300,21.653,NO,KAP12_U005_S683731_1300.csv,2026-09-12 00:42:01.710000,56175142
U001,1%,683731,800,17.322,NO,KAP12_U001_S683731_800.csv,2026-09-12 00:42:33.810000,56175148
U001,1%,683731,850,15.907,NO,KAP12_U001_S683731_850.csv,2026-09-12 00:43:05.867000,56175158
U001,1%,683731,900,17.822,NO,KAP12_U001_S683731_900.csv,2026-09-12 00:43:38.007000,56175165
U001,1%,683731,950,20.237,NO,KAP12_U001_S683731_950.csv,2026-09-12 00:44:10.067000,56175174
U001,1%,683731,1000,18.988,NO,KAP12_U001_S683731_1000.csv,2026-09-12 00:44:42.137000,56175180
U001,1%,683731,1050,17.655,NO,KAP12_U001_S683731_1050.csv,2026-09-12 00:45:14.190000,56175188
U001,1%,683731,1100,23.319,SI,KAP12_U001_S683731_1100.csv,2026-09-12 00:45:46.363000,56175201
U001,1%,683731,1150,21.82,NO,KAP12_U001_S683731_1150.csv,2026-09-12 00:46:18.463000,56175222
U001,1%,683731,1200,20.654,NO,KAP12_U001_S683731_1200.csv,2026-09-12 00:46:50.540000,56175228
U001,1%,683731,1250,19.654,NO,KAP12_U001_S683731_1250.csv,2026-09-12 00:47:22.583000,56175238
U001,1%,683731,1300,21.237,NO,KAP12_U001_S683731_1300.csv,2026-09-12 00:47:54.537000,56175246
