ref,fileName,date,description,status,publicScore,privateScore
56143773,KAP12_B100_S191099_1000.csv,2026-09-10 12:03:48.557000,envios=1000  semilla=191099,SubmissionStatus.COMPLETE,18.488,
56143778,KAP12_B100_S191099_1050.csv,2026-09-10 12:04:20.830000,envios=1050  semilla=191099,SubmissionStatus.COMPLETE,17.572,
56143783,KAP12_B100_S191099_1100.csv,2026-09-10 12:04:52.933000,envios=1100  semilla=191099,SubmissionStatus.COMPLETE,18.905,
56143790,KAP12_B100_S191099_1150.csv,2026-09-10 12:05:25.003000,envios=1150  semilla=191099,SubmissionStatus.COMPLETE,18.072,
56143799,KAP12_B100_S191099_1200.csv,2026-09-10 12:05:57.107000,envios=1200  semilla=191099,SubmissionStatus.COMPLETE,16.906,
56143811,KAP12_B100_S191099_1250.csv,2026-09-10 12:06:29.187000,envios=1250  semilla=191099,SubmissionStatus.COMPLETE,15.074,
56143821,KAP12_B100_S191099_1300.csv,2026-09-10 12:07:01.317000,envios=1300  semilla=191099,SubmissionStatus.COMPLETE,13.908,
56143740,KAP12_B100_S191099_800.csv,2026-09-10 12:01:39.873000,envios=800  semilla=191099,SubmissionStatus.COMPLETE,17.905,
56143746,KAP12_B100_S191099_850.csv,2026-09-10 12:02:12.160000,envios=850  semilla=191099,SubmissionStatus.COMPLETE,19.738,
56143755,KAP12_B100_S191099_900.csv,2026-09-10 12:02:44.240000,envios=900  semilla=191099,SubmissionStatus.COMPLETE,17.905,
56143765,KAP12_B100_S191099_950.csv,2026-09-10 12:03:16.397000,envios=950  semilla=191099,SubmissionStatus.COMPLETE,19.821,
56155410,KAP12_U001_S191099_1000.csv,2026-09-11 01:02:37.790000,envios=1000 semilla=191099,SubmissionStatus.COMPLETE,18.238,
56155427,KAP12_U001_S191099_1050.csv,2026-09-11 01:03:09.857000,envios=1050 semilla=191099,SubmissionStatus.COMPLETE,20.487,
56155439,KAP12_U001_S191099_1100.csv,2026-09-11 01:03:41.820000,envios=1100 semilla=191099,SubmissionStatus.COMPLETE,19.488,
56155450,KAP12_U001_S191099_1150.csv,2026-09-11 01:04:13.787000,envios=1150 semilla=191099,SubmissionStatus.COMPLETE,17.905,
56155462,KAP12_U001_S191099_1200.csv,2026-09-11 01:04:46.310000,envios=1200 semilla=191099,SubmissionStatus.COMPLETE,16.656,
56155472,KAP12_U001_S191099_1250.csv,2026-09-11 01:05:18.373000,envios=1250 semilla=191099,SubmissionStatus.COMPLETE,15.240,
56155491,KAP12_U001_S191099_1300.csv,2026-09-11 01:05:50.307000,envios=1300 semilla=191099,SubmissionStatus.COMPLETE,17.322,
56155360,KAP12_U001_S191099_800.csv,2026-09-11 01:00:29.930000,envios=800 semilla=191099,SubmissionStatus.COMPLETE,14.407,
56155374,KAP12_U001_S191099_850.csv,2026-09-11 01:01:01.807000,envios=850 semilla=191099,SubmissionStatus.COMPLETE,16.073,
56155388,KAP12_U001_S191099_900.csv,2026-09-11 01:01:33.847000,envios=900 semilla=191099,SubmissionStatus.COMPLETE,18.322,
56155398,KAP12_U001_S191099_950.csv,2026-09-11 01:02:05.793000,envios=950 semilla=191099,SubmissionStatus.COMPLETE,19.821,
56155286,KAP12_U005_S191099_1000.csv,2026-09-11 00:56:46.317000,envios=1000 semilla=191099,SubmissionStatus.COMPLETE,18.655,
56155295,KAP12_U005_S191099_1050.csv,2026-09-11 00:57:18.143000,envios=1050 semilla=191099,SubmissionStatus.COMPLETE,17.406,
56155306,KAP12_U005_S191099_1100.csv,2026-09-11 00:57:50.233000,envios=1100 semilla=191099,SubmissionStatus.COMPLETE,19.571,
56155314,KAP12_U005_S191099_1150.csv,2026-09-11 00:58:22.153000,envios=1150 semilla=191099,SubmissionStatus.COMPLETE,18.655,
56155327,KAP12_U005_S191099_1200.csv,2026-09-11 00:58:54.203000,envios=1200 semilla=191099,SubmissionStatus.COMPLETE,20.487,
56155340,KAP12_U005_S191099_1250.csv,2026-09-11 00:59:26.080000,envios=1250 semilla=191099,SubmissionStatus.COMPLETE,18.821,
56155351,KAP12_U005_S191099_1300.csv,2026-09-11 00:59:58.053000,envios=1300 semilla=191099,SubmissionStatus.COMPLETE,17.156,
56155255,KAP12_U005_S191099_800.csv,2026-09-11 00:54:37.867000,envios=800 semilla=191099,SubmissionStatus.COMPLETE,21.070,
56155264,KAP12_U005_S191099_850.csv,2026-09-11 00:55:09.863000,envios=850 semilla=191099,SubmissionStatus.COMPLETE,19.738,
56155274,KAP12_U005_S191099_900.csv,2026-09-11 00:55:41.793000,envios=900 semilla=191099,SubmissionStatus.COMPLETE,18.405,
56155281,KAP12_U005_S191099_950.csv,2026-09-11 00:56:14.317000,envios=950 semilla=191099,SubmissionStatus.COMPLETE,16.739,
56155176,KAP12_U010_S191099_1000.csv,2026-09-11 00:50:54.307000,envios=1000 semilla=191099,SubmissionStatus.COMPLETE,18.738,
56155191,KAP12_U010_S191099_1050.csv,2026-09-11 00:51:26.143000,envios=1050 semilla=191099,SubmissionStatus.COMPLETE,20.820,
56155204,KAP12_U010_S191099_1100.csv,2026-09-11 00:51:58.183000,envios=1100 semilla=191099,SubmissionStatus.COMPLETE,19.488,
56155215,KAP12_U010_S191099_1150.csv,2026-09-11 00:52:30.113000,envios=1150 semilla=191099,SubmissionStatus.COMPLETE,17.905,
56155224,KAP12_U010_S191099_1200.csv,2026-09-11 00:53:01.953000,envios=1200 semilla=191099,SubmissionStatus.COMPLETE,16.739,
56155231,KAP12_U010_S191099_1250.csv,2026-09-11 00:53:33.920000,envios=1250 semilla=191099,SubmissionStatus.COMPLETE,14.990,
56155245,KAP12_U010_S191099_1300.csv,2026-09-11 00:54:05.913000,envios=1300 semilla=191099,SubmissionStatus.COMPLETE,13.991,
56155137,KAP12_U010_S191099_800.csv,2026-09-11 00:48:46.777000,envios=800 semilla=191099,SubmissionStatus.COMPLETE,17.822,
56155150,KAP12_U010_S191099_850.csv,2026-09-11 00:49:18.583000,envios=850 semilla=191099,SubmissionStatus.COMPLETE,19.987,
56155159,KAP12_U010_S191099_900.csv,2026-09-11 00:49:50.550000,envios=900 semilla=191099,SubmissionStatus.COMPLETE,18.405,
56155169,KAP12_U010_S191099_950.csv,2026-09-11 00:50:22.400000,envios=950 semilla=191099,SubmissionStatus.COMPLETE,16.573,
56143976,KAP12_U040_S191099_1000.csv,2026-09-10 12:15:54.990000,envios=1000  semilla=191099,SubmissionStatus.COMPLETE,18.072,
56143993,KAP12_U040_S191099_1050.csv,2026-09-10 12:16:27.197000,envios=1050  semilla=191099,SubmissionStatus.COMPLETE,16.823,
56144002,KAP12_U040_S191099_1100.csv,2026-09-10 12:16:59.377000,envios=1100  semilla=191099,SubmissionStatus.COMPLETE,18.821,
56144017,KAP12_U040_S191099_1150.csv,2026-09-10 12:17:31.630000,envios=1150  semilla=191099,SubmissionStatus.COMPLETE,20.904,
56144028,KAP12_U040_S191099_1200.csv,2026-09-10 12:18:03.770000,envios=1200  semilla=191099,SubmissionStatus.COMPLETE,19.987,
56144035,KAP12_U040_S191099_1250.csv,2026-09-10 12:18:36.103000,envios=1250  semilla=191099,SubmissionStatus.COMPLETE,22.236,
56155099,KAP12_U040_S191099_1300.csv,2026-09-11 00:46:29.657000,envios=1300 semilla=191099,SubmissionStatus.COMPLETE,20.987,
56143936,KAP12_U040_S191099_800.csv,2026-09-10 12:13:46.107000,envios=800  semilla=191099,SubmissionStatus.COMPLETE,14.741,
56143946,KAP12_U040_S191099_850.csv,2026-09-10 12:14:18.230000,envios=850  semilla=191099,SubmissionStatus.COMPLETE,16.406,
56143950,KAP12_U040_S191099_900.csv,2026-09-10 12:14:50.587000,envios=900  semilla=191099,SubmissionStatus.COMPLETE,17.905,
56143963,KAP12_U040_S191099_950.csv,2026-09-10 12:15:22.743000,envios=950  semilla=191099,SubmissionStatus.COMPLETE,16.490,
