escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,191099,800,17.905,NO,KAP12_B100_S191099_800.csv,2026-09-10 12:01:39.873000,56143740
B100,100%,191099,850,19.738,NO,KAP12_B100_S191099_850.csv,2026-09-10 12:02:12.160000,56143746
B100,100%,191099,900,17.905,NO,KAP12_B100_S191099_900.csv,2026-09-10 12:02:44.240000,56143755
B100,100%,191099,950,19.821,SI,KAP12_B100_S191099_950.csv,2026-09-10 12:03:16.397000,56143765
B100,100%,191099,1000,18.488,NO,KAP12_B100_S191099_1000.csv,2026-09-10 12:03:48.557000,56143773
B100,100%,191099,1050,17.572,NO,KAP12_B100_S191099_1050.csv,2026-09-10 12:04:20.830000,56143778
B100,100%,191099,1100,18.905,NO,KAP12_B100_S191099_1100.csv,2026-09-10 12:04:52.933000,56143783
B100,100%,191099,1150,18.072,NO,KAP12_B100_S191099_1150.csv,2026-09-10 12:05:25.003000,56143790
B100,100%,191099,1200,16.906,NO,KAP12_B100_S191099_1200.csv,2026-09-10 12:05:57.107000,56143799
B100,100%,191099,1250,15.074,NO,KAP12_B100_S191099_1250.csv,2026-09-10 12:06:29.187000,56143811
B100,100%,191099,1300,13.908,NO,KAP12_B100_S191099_1300.csv,2026-09-10 12:07:01.317000,56143821
U040,40%,191099,800,14.741,NO,KAP12_U040_S191099_800.csv,2026-09-10 12:13:46.107000,56143936
U040,40%,191099,850,16.406,NO,KAP12_U040_S191099_850.csv,2026-09-10 12:14:18.230000,56143946
U040,40%,191099,900,17.905,NO,KAP12_U040_S191099_900.csv,2026-09-10 12:14:50.587000,56143950
U040,40%,191099,950,16.49,NO,KAP12_U040_S191099_950.csv,2026-09-10 12:15:22.743000,56143963
U040,40%,191099,1000,18.072,NO,KAP12_U040_S191099_1000.csv,2026-09-10 12:15:54.990000,56143976
U040,40%,191099,1050,16.823,NO,KAP12_U040_S191099_1050.csv,2026-09-10 12:16:27.197000,56143993
U040,40%,191099,1100,18.821,NO,KAP12_U040_S191099_1100.csv,2026-09-10 12:16:59.377000,56144002
U040,40%,191099,1150,20.904,NO,KAP12_U040_S191099_1150.csv,2026-09-10 12:17:31.630000,56144017
U040,40%,191099,1200,19.987,NO,KAP12_U040_S191099_1200.csv,2026-09-10 12:18:03.770000,56144028
U040,40%,191099,1250,22.236,SI,KAP12_U040_S191099_1250.csv,2026-09-10 12:18:36.103000,56144035
U040,40%,191099,1300,20.987,NO,KAP12_U040_S191099_1300.csv,2026-09-11 00:46:29.657000,56155099
U010,10%,191099,800,17.822,NO,KAP12_U010_S191099_800.csv,2026-09-11 00:48:46.777000,56155137
U010,10%,191099,850,19.987,NO,KAP12_U010_S191099_850.csv,2026-09-11 00:49:18.583000,56155150
U010,10%,191099,900,18.405,NO,KAP12_U010_S191099_900.csv,2026-09-11 00:49:50.550000,56155159
U010,10%,191099,950,16.573,NO,KAP12_U010_S191099_950.csv,2026-09-11 00:50:22.400000,56155169
U010,10%,191099,1000,18.738,NO,KAP12_U010_S191099_1000.csv,2026-09-11 00:50:54.307000,56155176
U010,10%,191099,1050,20.82,SI,KAP12_U010_S191099_1050.csv,2026-09-11 00:51:26.143000,56155191
U010,10%,191099,1100,19.488,NO,KAP12_U010_S191099_1100.csv,2026-09-11 00:51:58.183000,56155204
U010,10%,191099,1150,17.905,NO,KAP12_U010_S191099_1150.csv,2026-09-11 00:52:30.113000,56155215
U010,10%,191099,1200,16.739,NO,KAP12_U010_S191099_1200.csv,2026-09-11 00:53:01.953000,56155224
U010,10%,191099,1250,14.99,NO,KAP12_U010_S191099_1250.csv,2026-09-11 00:53:33.920000,56155231
U010,10%,191099,1300,13.991,NO,KAP12_U010_S191099_1300.csv,2026-09-11 00:54:05.913000,56155245
U005,5%,191099,800,21.07,SI,KAP12_U005_S191099_800.csv,2026-09-11 00:54:37.867000,56155255
U005,5%,191099,850,19.738,NO,KAP12_U005_S191099_850.csv,2026-09-11 00:55:09.863000,56155264
U005,5%,191099,900,18.405,NO,KAP12_U005_S191099_900.csv,2026-09-11 00:55:41.793000,56155274
U005,5%,191099,950,16.739,NO,KAP12_U005_S191099_950.csv,2026-09-11 00:56:14.317000,56155281
U005,5%,191099,1000,18.655,NO,KAP12_U005_S191099_1000.csv,2026-09-11 00:56:46.317000,56155286
U005,5%,191099,1050,17.406,NO,KAP12_U005_S191099_1050.csv,2026-09-11 00:57:18.143000,56155295
U005,5%,191099,1100,19.571,NO,KAP12_U005_S191099_1100.csv,2026-09-11 00:57:50.233000,56155306
U005,5%,191099,1150,18.655,NO,KAP12_U005_S191099_1150.csv,2026-09-11 00:58:22.153000,56155314
U005,5%,191099,1200,20.487,NO,KAP12_U005_S191099_1200.csv,2026-09-11 00:58:54.203000,56155327
U005,5%,191099,1250,18.821,NO,KAP12_U005_S191099_1250.csv,2026-09-11 00:59:26.080000,56155340
U005,5%,191099,1300,17.156,NO,KAP12_U005_S191099_1300.csv,2026-09-11 00:59:58.053000,56155351
U001,1%,191099,800,14.407,NO,KAP12_U001_S191099_800.csv,2026-09-11 01:00:29.930000,56155360
U001,1%,191099,850,16.073,NO,KAP12_U001_S191099_850.csv,2026-09-11 01:01:01.807000,56155374
U001,1%,191099,900,18.322,NO,KAP12_U001_S191099_900.csv,2026-09-11 01:01:33.847000,56155388
U001,1%,191099,950,19.821,NO,KAP12_U001_S191099_950.csv,2026-09-11 01:02:05.793000,56155398
U001,1%,191099,1000,18.238,NO,KAP12_U001_S191099_1000.csv,2026-09-11 01:02:37.790000,56155410
U001,1%,191099,1050,20.487,SI,KAP12_U001_S191099_1050.csv,2026-09-11 01:03:09.857000,56155427
U001,1%,191099,1100,19.488,NO,KAP12_U001_S191099_1100.csv,2026-09-11 01:03:41.820000,56155439
U001,1%,191099,1150,17.905,NO,KAP12_U001_S191099_1150.csv,2026-09-11 01:04:13.787000,56155450
U001,1%,191099,1200,16.656,NO,KAP12_U001_S191099_1200.csv,2026-09-11 01:04:46.310000,56155462
U001,1%,191099,1250,15.24,NO,KAP12_U001_S191099_1250.csv,2026-09-11 01:05:18.373000,56155472
U001,1%,191099,1300,17.322,NO,KAP12_U001_S191099_1300.csv,2026-09-11 01:05:50.307000,56155491
