escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,955939,800,21.153,SI,KAP12_B100_S955939_800.csv,2026-09-09 23:31:54.223000,56132400
B100,100%,955939,850,19.738,NO,KAP12_B100_S955939_850.csv,2026-09-09 23:32:26.147000,56132409
B100,100%,955939,900,18.572,NO,KAP12_B100_S955939_900.csv,2026-09-09 23:32:58.053000,56132418
B100,100%,955939,950,20.737,NO,KAP12_B100_S955939_950.csv,2026-09-09 23:33:30.057000,56132422
B100,100%,955939,1000,19.155,NO,KAP12_B100_S955939_1000.csv,2026-09-09 23:34:01.977000,56132429
B100,100%,955939,1050,17.822,NO,KAP12_B100_S955939_1050.csv,2026-09-09 23:34:33.917000,56132436
B100,100%,955939,1100,16.573,NO,KAP12_B100_S955939_1100.csv,2026-09-09 23:35:05.880000,56132446
B100,100%,955939,1150,18.655,NO,KAP12_B100_S955939_1150.csv,2026-09-09 23:35:37.793000,56132453
B100,100%,955939,1200,16.823,NO,KAP12_B100_S955939_1200.csv,2026-09-09 23:36:09.843000,56132457
B100,100%,955939,1250,15.573,NO,KAP12_B100_S955939_1250.csv,2026-09-09 23:36:41.917000,56132463
B100,100%,955939,1300,14.491,NO,KAP12_B100_S955939_1300.csv,2026-09-09 23:37:13.890000,56132469
U040,40%,955939,800,17.822,NO,KAP12_U040_S955939_800.csv,2026-09-09 23:46:36.430000,56132570
U040,40%,955939,850,16.739,NO,KAP12_U040_S955939_850.csv,2026-09-09 23:47:08.630000,56132575
U040,40%,955939,900,18.655,NO,KAP12_U040_S955939_900.csv,2026-09-09 23:47:40.657000,56132582
U040,40%,955939,950,20.654,SI,KAP12_U040_S955939_950.csv,2026-09-09 23:48:12.777000,56132586
U040,40%,955939,1000,19.238,NO,KAP12_U040_S955939_1000.csv,2026-09-09 23:48:44.890000,56132594
U040,40%,955939,1050,18.155,NO,KAP12_U040_S955939_1050.csv,2026-09-09 23:49:16.950000,56132600
U040,40%,955939,1100,16.739,NO,KAP12_U040_S955939_1100.csv,2026-09-09 23:49:48.973000,56132608
U040,40%,955939,1150,15.324,NO,KAP12_U040_S955939_1150.csv,2026-09-09 23:50:21.053000,56132621
U040,40%,955939,1200,17.406,NO,KAP12_U040_S955939_1200.csv,2026-09-09 23:50:53.070000,56132628
U040,40%,955939,1250,16.323,NO,KAP12_U040_S955939_1250.csv,2026-09-09 23:51:25.310000,56132639
U040,40%,955939,1300,14.99,NO,KAP12_U040_S955939_1300.csv,2026-09-09 23:51:57.523000,56132653
U010,10%,955939,800,21.07,SI,KAP12_U010_S955939_800.csv,2026-09-09 23:55:16.453000,56132683
U010,10%,955939,850,19.904,NO,KAP12_U010_S955939_850.csv,2026-09-09 23:55:48.617000,56132687
U010,10%,955939,900,18.405,NO,KAP12_U010_S955939_900.csv,2026-09-09 23:56:20.747000,56132696
U010,10%,955939,950,17.655,NO,KAP12_U010_S955939_950.csv,2026-09-09 23:56:52.757000,56132704
U010,10%,955939,1000,19.488,NO,KAP12_U010_S955939_1000.csv,2026-09-09 23:57:24.783000,56132710
U010,10%,955939,1050,17.905,NO,KAP12_U010_S955939_1050.csv,2026-09-09 23:57:56.900000,56132717
U010,10%,955939,1100,19.987,NO,KAP12_U010_S955939_1100.csv,2026-09-09 23:58:28.927000,56132727
U010,10%,955939,1150,18.488,NO,KAP12_U010_S955939_1150.csv,2026-09-09 23:59:00.963000,56132737
U010,10%,955939,1200,17.239,NO,KAP12_U010_S955939_1200.csv,2026-09-09 23:59:32.930000,56132740
U010,10%,955939,1250,15.823,NO,KAP12_U010_S955939_1250.csv,2026-09-10 00:00:05.003000,56132746
U010,10%,955939,1300,14.574,NO,KAP12_U010_S955939_1300.csv,2026-09-10 00:00:37.190000,56132801
U005,5%,955939,800,17.822,NO,KAP12_U005_S955939_800.csv,2026-09-10 00:02:52.567000,56132971
U005,5%,955939,850,16.573,NO,KAP12_U005_S955939_850.csv,2026-09-10 00:03:24.630000,56133017
U005,5%,955939,900,18.572,NO,KAP12_U005_S955939_900.csv,2026-09-10 00:03:56.710000,56133049
U005,5%,955939,950,20.57,SI,KAP12_U005_S955939_950.csv,2026-09-10 00:04:28.863000,56133070
U005,5%,955939,1000,19.238,NO,KAP12_U005_S955939_1000.csv,2026-09-10 00:05:00.840000,56133100
U005,5%,955939,1050,18.072,NO,KAP12_U005_S955939_1050.csv,2026-09-10 00:05:32.923000,56133123
U005,5%,955939,1100,16.906,NO,KAP12_U005_S955939_1100.csv,2026-09-10 00:06:05.003000,56133136
U005,5%,955939,1150,15.49,NO,KAP12_U005_S955939_1150.csv,2026-09-10 00:06:37.003000,56133160
U005,5%,955939,1200,17.489,NO,KAP12_U005_S955939_1200.csv,2026-09-10 00:07:09.020000,56133175
U005,5%,955939,1250,16.156,NO,KAP12_U005_S955939_1250.csv,2026-09-10 00:07:41.020000,56133194
U005,5%,955939,1300,14.99,NO,KAP12_U005_S955939_1300.csv,2026-09-10 00:08:13.130000,56133207
U001,1%,955939,800,18.072,NO,KAP12_U001_S955939_800.csv,2026-09-10 00:09:52.727000,56133233
U001,1%,955939,850,20.071,NO,KAP12_U001_S955939_850.csv,2026-09-10 00:10:25.980000,56133255
U001,1%,955939,900,18.655,NO,KAP12_U001_S955939_900.csv,2026-09-10 00:10:58.077000,56133279
U001,1%,955939,950,20.404,SI,KAP12_U001_S955939_950.csv,2026-09-10 00:11:30.350000,56133289
U001,1%,955939,1000,19.155,NO,KAP12_U001_S955939_1000.csv,2026-09-10 00:12:02.530000,56133301
U001,1%,955939,1050,17.905,NO,KAP12_U001_S955939_1050.csv,2026-09-10 00:12:34.537000,56133310
U001,1%,955939,1100,16.989,NO,KAP12_U001_S955939_1100.csv,2026-09-10 00:13:06.483000,56133321
U001,1%,955939,1150,15.657,NO,KAP12_U001_S955939_1150.csv,2026-09-10 00:13:38.500000,56133326
U001,1%,955939,1200,17.322,NO,KAP12_U001_S955939_1200.csv,2026-09-10 00:14:10.537000,56133336
U001,1%,955939,1250,15.907,NO,KAP12_U001_S955939_1250.csv,2026-09-10 00:14:42.567000,56133345
U001,1%,955939,1300,17.655,NO,KAP12_U001_S955939_1300.csv,2026-09-10 00:15:14.680000,56133359
