ref,fileName,date,description,status,publicScore,privateScore
56132429,KAP12_B100_S955939_1000.csv,2026-09-09 23:34:01.977000,envios=1000  semilla=955939,SubmissionStatus.COMPLETE,19.155,
56132436,KAP12_B100_S955939_1050.csv,2026-09-09 23:34:33.917000,envios=1050  semilla=955939,SubmissionStatus.COMPLETE,17.822,
56132446,KAP12_B100_S955939_1100.csv,2026-09-09 23:35:05.880000,envios=1100  semilla=955939,SubmissionStatus.COMPLETE,16.573,
56132453,KAP12_B100_S955939_1150.csv,2026-09-09 23:35:37.793000,envios=1150  semilla=955939,SubmissionStatus.COMPLETE,18.655,
56132457,KAP12_B100_S955939_1200.csv,2026-09-09 23:36:09.843000,envios=1200  semilla=955939,SubmissionStatus.COMPLETE,16.823,
56132463,KAP12_B100_S955939_1250.csv,2026-09-09 23:36:41.917000,envios=1250  semilla=955939,SubmissionStatus.COMPLETE,15.573,
56132469,KAP12_B100_S955939_1300.csv,2026-09-09 23:37:13.890000,envios=1300  semilla=955939,SubmissionStatus.COMPLETE,14.491,
56132400,KAP12_B100_S955939_800.csv,2026-09-09 23:31:54.223000,envios=800  semilla=955939,SubmissionStatus.COMPLETE,21.153,
56132409,KAP12_B100_S955939_850.csv,2026-09-09 23:32:26.147000,envios=850  semilla=955939,SubmissionStatus.COMPLETE,19.738,
56132418,KAP12_B100_S955939_900.csv,2026-09-09 23:32:58.053000,envios=900  semilla=955939,SubmissionStatus.COMPLETE,18.572,
56132422,KAP12_B100_S955939_950.csv,2026-09-09 23:33:30.057000,envios=950  semilla=955939,SubmissionStatus.COMPLETE,20.737,
56133301,KAP12_U001_S955939_1000.csv,2026-09-10 00:12:02.530000,envios=1000  semilla=955939,SubmissionStatus.COMPLETE,19.155,
56133310,KAP12_U001_S955939_1050.csv,2026-09-10 00:12:34.537000,envios=1050  semilla=955939,SubmissionStatus.COMPLETE,17.905,
56133321,KAP12_U001_S955939_1100.csv,2026-09-10 00:13:06.483000,envios=1100  semilla=955939,SubmissionStatus.COMPLETE,16.989,
56133326,KAP12_U001_S955939_1150.csv,2026-09-10 00:13:38.500000,envios=1150  semilla=955939,SubmissionStatus.COMPLETE,15.657,
56133336,KAP12_U001_S955939_1200.csv,2026-09-10 00:14:10.537000,envios=1200  semilla=955939,SubmissionStatus.COMPLETE,17.322,
56133345,KAP12_U001_S955939_1250.csv,2026-09-10 00:14:42.567000,envios=1250  semilla=955939,SubmissionStatus.COMPLETE,15.907,
56133359,KAP12_U001_S955939_1300.csv,2026-09-10 00:15:14.680000,envios=1300  semilla=955939,SubmissionStatus.COMPLETE,17.655,
56133233,KAP12_U001_S955939_800.csv,2026-09-10 00:09:52.727000,envios=800  semilla=955939,SubmissionStatus.COMPLETE,18.072,
56133255,KAP12_U001_S955939_850.csv,2026-09-10 00:10:25.980000,envios=850  semilla=955939,SubmissionStatus.COMPLETE,20.071,
56133279,KAP12_U001_S955939_900.csv,2026-09-10 00:10:58.077000,envios=900  semilla=955939,SubmissionStatus.COMPLETE,18.655,
56133289,KAP12_U001_S955939_950.csv,2026-09-10 00:11:30.350000,envios=950  semilla=955939,SubmissionStatus.COMPLETE,20.404,
56133100,KAP12_U005_S955939_1000.csv,2026-09-10 00:05:00.840000,envios=1000  semilla=955939,SubmissionStatus.COMPLETE,19.238,
