ref,fileName,date,description,status,publicScore,privateScore
56130900,KAP12_B100_S119993_1000.csv,2026-09-09 21:02:18.617000,envios=1000  semilla=119993,SubmissionStatus.COMPLETE,19.321,
56130908,KAP12_B100_S119993_1050.csv,2026-09-09 21:02:50.600000,envios=1050  semilla=119993,SubmissionStatus.COMPLETE,18.072,
56130912,KAP12_B100_S119993_1100.csv,2026-09-09 21:03:22.583000,envios=1100  semilla=119993,SubmissionStatus.COMPLETE,16.906,
56130921,KAP12_B100_S119993_1150.csv,2026-09-09 21:03:54.557000,envios=1150  semilla=119993,SubmissionStatus.COMPLETE,15.657,
56130925,KAP12_B100_S119993_1200.csv,2026-09-09 21:04:26.517000,envios=1200  semilla=119993,SubmissionStatus.COMPLETE,14.657,
56130932,KAP12_B100_S119993_1250.csv,2026-09-09 21:04:58.513000,envios=1250  semilla=119993,SubmissionStatus.COMPLETE,16.906,
56130940,KAP12_B100_S119993_1300.csv,2026-09-09 21:05:30.457000,envios=1300  semilla=119993,SubmissionStatus.COMPLETE,15.657,
56130876,KAP12_B100_S119993_800.csv,2026-09-09 21:00:10.660000,envios=800  semilla=119993,SubmissionStatus.COMPLETE,18.072,
56130881,KAP12_B100_S119993_850.csv,2026-09-09 21:00:42.620000,envios=850  semilla=119993,SubmissionStatus.COMPLETE,17.156,
56130885,KAP12_B100_S119993_900.csv,2026-09-09 21:01:14.640000,envios=900  semilla=119993,SubmissionStatus.COMPLETE,19.155,
56130892,KAP12_B100_S119993_950.csv,2026-09-09 21:01:46.613000,envios=950  semilla=119993,SubmissionStatus.COMPLETE,21.070,
56170884,KAP12_U001_S119993_1000.csv,2026-09-11 18:22:03.940000,envios=1000  semilla=119993,SubmissionStatus.COMPLETE,19.404,
56170889,KAP12_U001_S119993_1050.csv,2026-09-11 18:22:36.003000,envios=1050  semilla=119993,SubmissionStatus.COMPLETE,18.072,
56170907,KAP12_U001_S119993_1100.csv,2026-09-11 18:23:44.780000,envios=1100  semilla=119993,SubmissionStatus.COMPLETE,17.073,
56170915,KAP12_U001_S119993_1150.csv,2026-09-11 18:24:16.693000,envios=1150  semilla=119993,SubmissionStatus.COMPLETE,15.823,
56170924,KAP12_U001_S119993_1200.csv,2026-09-11 18:24:48.627000,envios=1200  semilla=119993,SubmissionStatus.COMPLETE,14.741,
56170930,KAP12_U001_S119993_1250.csv,2026-09-11 18:25:20.580000,envios=1250  semilla=119993,SubmissionStatus.COMPLETE,13.491,
56170937,KAP12_U001_S119993_1300.csv,2026-09-11 18:25:52.737000,envios=1300  semilla=119993,SubmissionStatus.COMPLETE,15.157,
56170849,KAP12_U001_S119993_800.csv,2026-09-11 18:19:55.940000,envios=800  semilla=119993,SubmissionStatus.COMPLETE,17.989,
56170856,KAP12_U001_S119993_850.csv,2026-09-11 18:20:27.927000,envios=850  semilla=119993,SubmissionStatus.COMPLETE,16.989,
56170859,KAP12_U001_S119993_900.csv,2026-09-11 18:20:59.890000,envios=900  semilla=119993,SubmissionStatus.COMPLETE,19.404,
56170866,KAP12_U001_S119993_950.csv,2026-09-11 18:21:31.853000,envios=950  semilla=119993,SubmissionStatus.COMPLETE,21.320,
56167417,KAP12_U005_S119993_1000.csv,2026-09-11 14:44:32.280000,envios=1000  semilla=119993,SubmissionStatus.COMPLETE,19.404,
56167426,KAP12_U005_S119993_1050.csv,2026-09-11 14:45:04.270000,envios=1050  semilla=119993,SubmissionStatus.COMPLETE,18.238,
56167434,KAP12_U005_S119993_1100.csv,2026-09-11 14:45:36.247000,envios=1100  semilla=119993,SubmissionStatus.COMPLETE,16.989,
56167442,KAP12_U005_S119993_1150.csv,2026-09-11 14:46:08.360000,envios=1150  semilla=119993,SubmissionStatus.COMPLETE,15.490,
56167453,KAP12_U005_S119993_1200.csv,2026-09-11 14:46:40.580000,envios=1200  semilla=119993,SubmissionStatus.COMPLETE,17.572,
56167471,KAP12_U005_S119993_1250.csv,2026-09-11 14:47:12.527000,envios=1250  semilla=119993,SubmissionStatus.COMPLETE,16.156,
56167479,KAP12_U005_S119993_1300.csv,2026-09-11 14:47:44.577000,envios=1300  semilla=119993,SubmissionStatus.COMPLETE,18.405,
56167378,KAP12_U005_S119993_800.csv,2026-09-11 14:42:23.950000,envios=800  semilla=119993,SubmissionStatus.COMPLETE,20.820,
56167387,KAP12_U005_S119993_850.csv,2026-09-11 14:42:56.050000,envios=850  semilla=119993,SubmissionStatus.COMPLETE,22.986,
56167400,KAP12_U005_S119993_900.csv,2026-09-11 14:43:28.113000,envios=900  semilla=119993,SubmissionStatus.COMPLETE,22.153,
56167409,KAP12_U005_S119993_950.csv,2026-09-11 14:44:00.167000,envios=950  semilla=119993,SubmissionStatus.COMPLETE,21.070,
56150296,KAP12_U010_S119993_1000.csv,2026-09-10 19:09:52.863000,envios=1000  semilla=119993,SubmissionStatus.COMPLETE,16.240,
56150301,KAP12_U010_S119993_1050.csv,2026-09-10 19:10:24.847000,envios=1050  semilla=119993,SubmissionStatus.COMPLETE,17.989,
56150306,KAP12_U010_S119993_1100.csv,2026-09-10 19:10:56.950000,envios=1100  semilla=119993,SubmissionStatus.COMPLETE,20.071,
56150311,KAP12_U010_S119993_1150.csv,2026-09-10 19:11:29.063000,envios=1150  semilla=119993,SubmissionStatus.COMPLETE,21.820,
56150321,KAP12_U010_S119993_1200.csv,2026-09-10 19:12:01.337000,envios=1200  semilla=119993,SubmissionStatus.COMPLETE,20.987,
56150326,KAP12_U010_S119993_1250.csv,2026-09-10 19:12:34.213000,envios=1250  semilla=119993,SubmissionStatus.COMPLETE,19.404,
56150333,KAP12_U010_S119993_1300.csv,2026-09-10 19:13:06.297000,envios=1300  semilla=119993,SubmissionStatus.COMPLETE,18.405,
56150270,KAP12_U010_S119993_800.csv,2026-09-10 19:07:44.503000,envios=800  semilla=119993,SubmissionStatus.COMPLETE,18.072,
56150275,KAP12_U010_S119993_850.csv,2026-09-10 19:08:16.707000,envios=850  semilla=119993,SubmissionStatus.COMPLETE,17.156,
56150283,KAP12_U010_S119993_900.csv,2026-09-10 19:08:48.730000,envios=900  semilla=119993,SubmissionStatus.COMPLETE,15.740,
56150287,KAP12_U010_S119993_950.csv,2026-09-10 19:09:20.817000,envios=950  semilla=119993,SubmissionStatus.COMPLETE,13.991,
56132604,KAP12_U040_S119993_1000.csv,2026-09-09 23:49:28.830000,envios=1000  semilla=119993,SubmissionStatus.COMPLETE,19.821,
56132612,KAP12_U040_S119993_1050.csv,2026-09-09 23:50:00.740000,envios=1050  semilla=119993,SubmissionStatus.COMPLETE,18.155,
56132624,KAP12_U040_S119993_1100.csv,2026-09-09 23:50:32.757000,envios=1100  semilla=119993,SubmissionStatus.COMPLETE,17.073,
56132631,KAP12_U040_S119993_1150.csv,2026-09-09 23:51:04.770000,envios=1150  semilla=119993,SubmissionStatus.COMPLETE,16.156,
56132642,KAP12_U040_S119993_1200.csv,2026-09-09 23:51:36.687000,envios=1200  semilla=119993,SubmissionStatus.COMPLETE,14.491,
56132656,KAP12_U040_S119993_1250.csv,2026-09-09 23:52:08.673000,envios=1250  semilla=119993,SubmissionStatus.COMPLETE,16.573,
56132664,KAP12_U040_S119993_1300.csv,2026-09-09 23:52:40.593000,envios=1300  semilla=119993,SubmissionStatus.COMPLETE,15.490,
56132577,KAP12_U040_S119993_800.csv,2026-09-09 23:47:21.170000,envios=800  semilla=119993,SubmissionStatus.COMPLETE,18.072,
56132584,KAP12_U040_S119993_850.csv,2026-09-09 23:47:53.130000,envios=850  semilla=119993,SubmissionStatus.COMPLETE,16.823,
56132589,KAP12_U040_S119993_900.csv,2026-09-09 23:48:25.020000,envios=900  semilla=119993,SubmissionStatus.COMPLETE,19.155,
56132597,KAP12_U040_S119993_950.csv,2026-09-09 23:48:56.877000,envios=950  semilla=119993,SubmissionStatus.COMPLETE,18.155,
