escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,895651,800,17.239,NO,KAP12_B100_S895651_800.csv,2026-09-11 01:38:30.823000,56156008
B100,100%,895651,850,16.24,NO,KAP12_B100_S895651_850.csv,2026-09-11 01:39:02.920000,56156011
B100,100%,895651,900,15.823,NO,KAP12_B100_S895651_900.csv,2026-09-11 01:39:35.110000,56156015
B100,100%,895651,950,15.074,NO,KAP12_B100_S895651_950.csv,2026-09-11 01:40:07.373000,56156022
B100,100%,895651,1000,13.908,NO,KAP12_B100_S895651_1000.csv,2026-09-11 01:40:39.593000,56156034
B100,100%,895651,1050,12.908,NO,KAP12_B100_S895651_1050.csv,2026-09-11 01:41:11.657000,56156055
B100,100%,895651,1100,17.572,SI,KAP12_B100_S895651_1100.csv,2026-09-11 01:41:43.817000,56156071
B100,100%,895651,1150,15.573,NO,KAP12_B100_S895651_1150.csv,2026-09-11 01:42:16.003000,56156080
B100,100%,895651,1200,17.239,NO,KAP12_B100_S895651_1200.csv,2026-09-11 01:42:48.037000,56156094
B100,100%,895651,1250,15.99,NO,KAP12_B100_S895651_1250.csv,2026-09-11 01:43:20.133000,56156099
B100,100%,895651,1300,14.824,NO,KAP12_B100_S895651_1300.csv,2026-09-11 01:43:52.337000,56156109
U040,40%,895651,800,16.823,NO,KAP12_U040_S895651_800.csv,2026-09-11 01:49:28.693000,56156191
U040,40%,895651,850,18.988,SI,KAP12_U040_S895651_850.csv,2026-09-11 01:50:00.970000,56156199
U040,40%,895651,900,17.989,NO,KAP12_U040_S895651_900.csv,2026-09-11 01:50:33.063000,56156206
U040,40%,895651,950,17.239,NO,KAP12_U040_S895651_950.csv,2026-09-11 01:51:05.227000,56156212
U040,40%,895651,1000,16.406,NO,KAP12_U040_S895651_1000.csv,2026-09-11 01:51:37.443000,56156221
U040,40%,895651,1050,18.405,NO,KAP12_U040_S895651_1050.csv,2026-09-11 01:52:09.557000,56156231
U040,40%,895651,1100,17.239,NO,KAP12_U040_S895651_1100.csv,2026-09-11 01:52:41.623000,56156238
U040,40%,895651,1150,15.657,NO,KAP12_U040_S895651_1150.csv,2026-09-11 01:53:13.780000,56156246
U040,40%,895651,1200,14.158,NO,KAP12_U040_S895651_1200.csv,2026-09-11 01:53:45.867000,56156251
U040,40%,895651,1250,15.74,NO,KAP12_U040_S895651_1250.csv,2026-09-11 01:54:17.977000,56156263
U040,40%,895651,1300,14.407,NO,KAP12_U040_S895651_1300.csv,2026-09-11 01:54:50.170000,56156268
U010,10%,895651,800,19.821,SI,KAP12_U010_S895651_800.csv,2026-09-11 01:58:15.863000,56156317
U010,10%,895651,850,18.988,NO,KAP12_U010_S895651_850.csv,2026-09-11 01:58:48.027000,56156326
U010,10%,895651,900,17.989,NO,KAP12_U010_S895651_900.csv,2026-09-11 01:59:20.087000,56156334
U010,10%,895651,950,17.073,NO,KAP12_U010_S895651_950.csv,2026-09-11 01:59:52.110000,56156346
U010,10%,895651,1000,15.823,NO,KAP12_U010_S895651_1000.csv,2026-09-11 02:00:24.153000,56156357
U010,10%,895651,1050,14.324,NO,KAP12_U010_S895651_1050.csv,2026-09-11 02:00:56.210000,56156367
U010,10%,895651,1100,16.24,NO,KAP12_U010_S895651_1100.csv,2026-09-11 02:01:28.257000,56156375
U010,10%,895651,1150,15.074,NO,KAP12_U010_S895651_1150.csv,2026-09-11 02:02:00.343000,56156382
U010,10%,895651,1200,17.406,NO,KAP12_U010_S895651_1200.csv,2026-09-11 02:02:32.467000,56156389
U010,10%,895651,1250,19.821,SI,KAP12_U010_S895651_1250.csv,2026-09-11 02:03:04.550000,56156395
U010,10%,895651,1300,18.405,NO,KAP12_U010_S895651_1300.csv,2026-09-11 02:03:36.610000,56156403
U005,5%,895651,800,17.572,SI,KAP12_U005_S895651_800.csv,2026-09-11 02:06:23.343000,56156455
U005,5%,895651,850,16.573,NO,KAP12_U005_S895651_850.csv,2026-09-11 02:06:55.563000,56156467
U005,5%,895651,900,15.324,NO,KAP12_U005_S895651_900.csv,2026-09-11 02:07:27.740000,56156480
U005,5%,895651,950,14.158,NO,KAP12_U005_S895651_950.csv,2026-09-11 02:07:59.897000,56156495
U005,5%,895651,1000,13.241,NO,KAP12_U005_S895651_1000.csv,2026-09-11 02:08:32.050000,56156499
U005,5%,895651,1050,15.657,NO,KAP12_U005_S895651_1050.csv,2026-09-11 02:09:04.157000,56156505
U005,5%,895651,1100,17.572,SI,KAP12_U005_S895651_1100.csv,2026-09-11 02:09:36.440000,56156513
U005,5%,895651,1150,15.99,NO,KAP12_U005_S895651_1150.csv,2026-09-11 02:10:08.477000,56156522
U005,5%,895651,1200,14.407,NO,KAP12_U005_S895651_1200.csv,2026-09-11 02:10:40.613000,56156529
