escenario_codigo,escenario,semilla,corte_maximo,ganancia_maxima,cantidad_empates,AUC,num_leaves,min_data_in_leaf,num_iterations,training_antes,training_despues,positivos_antes,positivos_despues,negativos_antes,negativos_despues,porcentaje_real_conservado,duracion_minutos,param_yml
B100,100%,299993,800,24.068,1,0.9522531,256.0,64.0,226,179449,179449,1673,1673,177776,177776,100.0,20.57,/home/ds/buckets/b1/exp/WFP12_B100_S299993/PARAM.yml
U040,40%,299993,800,24.235,1,0.9519108,128.0,64.0,233,179449,72787,1673,1673,177776,71114,40.5614,9.68,/home/ds/buckets/b1/exp/WFP12_U040_S299993/PARAM.yml
U010,10%,299993,950,20.154,1,0.9511079,128.0,64.0,431,179449,19328,1673,1673,177776,17655,10.7707,8.64,/home/ds/buckets/b1/exp/WFP12_U010_S299993/PARAM.yml
U005,5%,299993,1000,19.321,1,0.9506772,128.0,64.0,509,179449,10706,1673,1673,177776,9033,5.966,7.78,/home/ds/buckets/b1/exp/WFP12_U005_S299993/PARAM.yml
U001,1%,299993,800,24.318,1,0.9425672,64.0,64.0,237,179449,3546,1673,1673,177776,1873,1.976,6.88,/home/ds/buckets/b1/exp/WFP12_U001_S299993/PARAM.yml
