escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,299993,800,24.068,SI,KAP12_B100_S299993_800.csv,2026-09-09 21:27:09.217000,56131120
B100,100%,299993,850,23.069,NO,KAP12_B100_S299993_850.csv,2026-09-09 21:27:41.290000,56131132
B100,100%,299993,900,21.903,NO,KAP12_B100_S299993_900.csv,2026-09-09 21:28:13.253000,56131139
B100,100%,299993,950,20.321,NO,KAP12_B100_S299993_950.csv,2026-09-09 21:28:45.130000,56131141
B100,100%,299993,1000,21.903,NO,KAP12_B100_S299993_1000.csv,2026-09-09 21:29:17.047000,56131148
B100,100%,299993,1050,21.07,NO,KAP12_B100_S299993_1050.csv,2026-09-09 21:29:48.953000,56131157
B100,100%,299993,1100,20.237,NO,KAP12_B100_S299993_1100.csv,2026-09-09 21:30:20.967000,56131159
B100,100%,299993,1150,19.155,NO,KAP12_B100_S299993_1150.csv,2026-09-09 21:30:52.933000,56131164
B100,100%,299993,1200,17.905,NO,KAP12_B100_S299993_1200.csv,2026-09-09 21:31:24.813000,56131169
B100,100%,299993,1250,16.323,NO,KAP12_B100_S299993_1250.csv,2026-09-09 21:31:56.707000,56131176
B100,100%,299993,1300,15.157,NO,KAP12_B100_S299993_1300.csv,2026-09-09 21:32:28.663000,56131186
U040,40%,299993,800,24.235,SI,KAP12_U040_S299993_800.csv,2026-09-10 00:02:11.217000,56132934
U040,40%,299993,850,22.986,NO,KAP12_U040_S299993_850.csv,2026-09-10 00:02:43.263000,56132964
U040,40%,299993,900,21.986,NO,KAP12_U040_S299993_900.csv,2026-09-10 00:03:15.327000,56133005
U040,40%,299993,950,20.071,NO,KAP12_U040_S299993_950.csv,2026-09-10 00:03:47.183000,56133040
U040,40%,299993,1000,21.903,NO,KAP12_U040_S299993_1000.csv,2026-09-10 00:04:19.003000,56133066
U040,40%,299993,1050,20.987,NO,KAP12_U040_S299993_1050.csv,2026-09-10 00:04:51.020000,56133090
