escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,602257,800,20.321,NO,KAP12_B100_S602257_800.csv,2026-09-10 03:14:11.743000,56136073
B100,100%,602257,850,22.403,SI,KAP12_B100_S602257_850.csv,2026-09-10 03:14:43.997000,56136079
B100,100%,602257,900,21.403,NO,KAP12_B100_S602257_900.csv,2026-09-10 03:15:16.180000,56136087
B100,100%,602257,950,20.154,NO,KAP12_B100_S602257_950.csv,2026-09-10 03:15:48.613000,56136104
B100,100%,602257,1000,19.321,NO,KAP12_B100_S602257_1000.csv,2026-09-10 03:16:20.850000,56136111
B100,100%,602257,1050,21.153,NO,KAP12_B100_S602257_1050.csv,2026-09-10 03:16:53.090000,56136122
B100,100%,602257,1100,20.071,NO,KAP12_B100_S602257_1100.csv,2026-09-10 03:17:25.273000,56136131
B100,100%,602257,1150,18.572,NO,KAP12_B100_S602257_1150.csv,2026-09-10 03:17:57.533000,56136141
B100,100%,602257,1200,17.322,NO,KAP12_B100_S602257_1200.csv,2026-09-10 03:18:29.683000,56136149
B100,100%,602257,1250,19.238,NO,KAP12_B100_S602257_1250.csv,2026-09-10 03:19:01.857000,56136161
B100,100%,602257,1300,17.905,NO,KAP12_B100_S602257_1300.csv,2026-09-10 03:19:33.987000,56136170
U040,40%,602257,800,20.404,NO,KAP12_U040_S602257_800.csv,2026-09-10 03:25:35.287000,56136276
U040,40%,602257,850,22.403,SI,KAP12_U040_S602257_850.csv,2026-09-10 03:26:07.593000,56136285
U040,40%,602257,900,21.153,NO,KAP12_U040_S602257_900.csv,2026-09-10 03:26:39.927000,56136295
U040,40%,602257,950,20.071,NO,KAP12_U040_S602257_950.csv,2026-09-10 03:27:12.107000,56136304
U040,40%,602257,1000,18.655,NO,KAP12_U040_S602257_1000.csv,2026-09-10 03:27:44.307000,56136318
U040,40%,602257,1050,17.239,NO,KAP12_U040_S602257_1050.csv,2026-09-10 03:28:16.637000,56136333
U040,40%,602257,1100,15.907,NO,KAP12_U040_S602257_1100.csv,2026-09-10 03:28:48.687000,56136347
U040,40%,602257,1150,17.905,NO,KAP12_U040_S602257_1150.csv,2026-09-10 03:29:20.900000,56136361
