ref,fileName,date,description,status,publicScore,privateScore
56127530,KAP12_B100_S198427_1000.csv,2026-09-09 16:43:48.673000,envios=1000  semilla=198427,SubmissionStatus.COMPLETE,15.324,
56127539,KAP12_B100_S198427_1050.csv,2026-09-09 16:44:20.670000,envios=1050  semilla=198427,SubmissionStatus.COMPLETE,13.991,
56127547,KAP12_B100_S198427_1100.csv,2026-09-09 16:44:52.670000,envios=1100  semilla=198427,SubmissionStatus.COMPLETE,15.823,
56127555,KAP12_B100_S198427_1150.csv,2026-09-09 16:45:24.557000,envios=1150  semilla=198427,SubmissionStatus.COMPLETE,14.491,
56127559,KAP12_B100_S198427_1200.csv,2026-09-09 16:45:56.510000,envios=1200  semilla=198427,SubmissionStatus.COMPLETE,16.406,
56127568,KAP12_B100_S198427_1250.csv,2026-09-09 16:46:28.437000,envios=1250  semilla=198427,SubmissionStatus.COMPLETE,18.655,
56127576,KAP12_B100_S198427_1300.csv,2026-09-09 16:47:00.377000,envios=1300  semilla=198427,SubmissionStatus.COMPLETE,17.572,
56127505,KAP12_B100_S198427_800.csv,2026-09-09 16:41:40.773000,envios=800  semilla=198427,SubmissionStatus.COMPLETE,14.074,
56127511,KAP12_B100_S198427_850.csv,2026-09-09 16:42:12.823000,envios=850  semilla=198427,SubmissionStatus.COMPLETE,19.238,
56127518,KAP12_B100_S198427_900.csv,2026-09-09 16:42:44.810000,envios=900  semilla=198427,SubmissionStatus.COMPLETE,18.072,
56127526,KAP12_B100_S198427_950.csv,2026-09-09 16:43:16.707000,envios=950  semilla=198427,SubmissionStatus.COMPLETE,16.656,
56128982,KAP12_U001_S198427_1000.csv,2026-09-09 18:18:50.857000,envios=1000  semilla=198427,SubmissionStatus.COMPLETE,15.157,
56128989,KAP12_U001_S198427_1050.csv,2026-09-09 18:19:22.773000,envios=1050  semilla=198427,SubmissionStatus.COMPLETE,13.824,
56128997,KAP12_U001_S198427_1100.csv,2026-09-09 18:19:54.700000,envios=1100  semilla=198427,SubmissionStatus.COMPLETE,12.325,
56129001,KAP12_U001_S198427_1150.csv,2026-09-09 18:20:26.707000,envios=1150  semilla=198427,SubmissionStatus.COMPLETE,14.657,
56129010,KAP12_U001_S198427_1200.csv,2026-09-09 18:20:58.630000,envios=1200  semilla=198427,SubmissionStatus.COMPLETE,13.408,
56129014,KAP12_U001_S198427_1250.csv,2026-09-09 18:21:30.640000,envios=1250  semilla=198427,SubmissionStatus.COMPLETE,12.325,
56129024,KAP12_U001_S198427_1300.csv,2026-09-09 18:22:02.727000,envios=1300  semilla=198427,SubmissionStatus.COMPLETE,11.326,
56128958,KAP12_U001_S198427_800.csv,2026-09-09 18:16:43.110000,envios=800  semilla=198427,SubmissionStatus.COMPLETE,17.239,
56128964,KAP12_U001_S198427_850.csv,2026-09-09 18:17:15.060000,envios=850  semilla=198427,SubmissionStatus.COMPLETE,16.156,
56128969,KAP12_U001_S198427_900.csv,2026-09-09 18:17:46.987000,envios=900  semilla=198427,SubmissionStatus.COMPLETE,18.155,
56128976,KAP12_U001_S198427_950.csv,2026-09-09 18:18:18.913000,envios=950  semilla=198427,SubmissionStatus.COMPLETE,16.739,
56128820,KAP12_U005_S198427_1000.csv,2026-09-09 18:07:08.527000,envios=1000  semilla=198427,SubmissionStatus.COMPLETE,11.909,
56128830,KAP12_U005_S198427_1050.csv,2026-09-09 18:07:40.453000,envios=1050  semilla=198427,SubmissionStatus.COMPLETE,13.908,
56128842,KAP12_U005_S198427_1100.csv,2026-09-09 18:08:12.463000,envios=1100  semilla=198427,SubmissionStatus.COMPLETE,19.071,
56128849,KAP12_U005_S198427_1150.csv,2026-09-09 18:08:44.360000,envios=1150  semilla=198427,SubmissionStatus.COMPLETE,17.739,
56128857,KAP12_U005_S198427_1200.csv,2026-09-09 18:09:16.333000,envios=1200  semilla=198427,SubmissionStatus.COMPLETE,16.739,
56128871,KAP12_U005_S198427_1250.csv,2026-09-09 18:09:48.293000,envios=1250  semilla=198427,SubmissionStatus.COMPLETE,19.071,
56128877,KAP12_U005_S198427_1300.csv,2026-09-09 18:10:20.410000,envios=1300  semilla=198427,SubmissionStatus.COMPLETE,18.322,
56128771,KAP12_U005_S198427_800.csv,2026-09-09 18:05:00.393000,envios=800  semilla=198427,SubmissionStatus.COMPLETE,4.497,
56128782,KAP12_U005_S198427_850.csv,2026-09-09 18:05:32.377000,envios=850  semilla=198427,SubmissionStatus.COMPLETE,6.079,
56128794,KAP12_U005_S198427_900.csv,2026-09-09 18:06:04.467000,envios=900  semilla=198427,SubmissionStatus.COMPLETE,7.828,
