escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,198427,800,14.074,NO,KAP12_B100_S198427_800.csv,2026-09-09 16:41:40.773000,56127505
B100,100%,198427,850,19.238,SI,KAP12_B100_S198427_850.csv,2026-09-09 16:42:12.823000,56127511
B100,100%,198427,900,18.072,NO,KAP12_B100_S198427_900.csv,2026-09-09 16:42:44.810000,56127518
B100,100%,198427,950,16.656,NO,KAP12_B100_S198427_950.csv,2026-09-09 16:43:16.707000,56127526
B100,100%,198427,1000,15.324,NO,KAP12_B100_S198427_1000.csv,2026-09-09 16:43:48.673000,56127530
B100,100%,198427,1050,13.991,NO,KAP12_B100_S198427_1050.csv,2026-09-09 16:44:20.670000,56127539
B100,100%,198427,1100,15.823,NO,KAP12_B100_S198427_1100.csv,2026-09-09 16:44:52.670000,56127547
B100,100%,198427,1150,14.491,NO,KAP12_B100_S198427_1150.csv,2026-09-09 16:45:24.557000,56127555
B100,100%,198427,1200,16.406,NO,KAP12_B100_S198427_1200.csv,2026-09-09 16:45:56.510000,56127559
B100,100%,198427,1250,18.655,NO,KAP12_B100_S198427_1250.csv,2026-09-09 16:46:28.437000,56127568
B100,100%,198427,1300,17.572,NO,KAP12_B100_S198427_1300.csv,2026-09-09 16:47:00.377000,56127576
U040,40%,198427,800,17.239,NO,KAP12_U040_S198427_800.csv,2026-09-09 16:18:26.333000,56127138
U040,40%,198427,850,19.404,SI,KAP12_U040_S198427_850.csv,2026-09-09 16:18:58.460000,56127148
U040,40%,198427,900,18.155,NO,KAP12_U040_S198427_900.csv,2026-09-09 16:19:30.623000,56127154
U040,40%,198427,950,16.656,NO,KAP12_U040_S198427_950.csv,2026-09-09 16:20:02.730000,56127163
U040,40%,198427,1000,15.407,NO,KAP12_U040_S198427_1000.csv,2026-09-09 16:20:35.030000,56127175
U040,40%,198427,1050,13.741,NO,KAP12_U040_S198427_1050.csv,2026-09-09 16:21:07.100000,56127182
U040,40%,198427,1100,12.159,NO,KAP12_U040_S198427_1100.csv,2026-09-09 16:21:39.023000,56127191
U040,40%,198427,1150,14.324,NO,KAP12_U040_S198427_1150.csv,2026-09-09 16:22:10.973000,56127205
U040,40%,198427,1200,13.658,NO,KAP12_U040_S198427_1200.csv,2026-09-09 16:22:42.863000,56127219
U040,40%,198427,1250,12.409,NO,KAP12_U040_S198427_1250.csv,2026-09-09 16:23:14.960000,56127227
U040,40%,198427,1300,11.409,NO,KAP12_U040_S198427_1300.csv,2026-09-09 16:23:46.910000,56127245
U010,10%,198427,800,13.991,NO,KAP12_U010_S198427_800.csv,2026-09-09 16:53:54.040000,56127679
U010,10%,198427,850,19.238,SI,KAP12_U010_S198427_850.csv,2026-09-09 16:54:26.097000,56127683
U010,10%,198427,900,18.155,NO,KAP12_U010_S198427_900.csv,2026-09-09 16:54:58.150000,56127694
U010,10%,198427,950,16.739,NO,KAP12_U010_S198427_950.csv,2026-09-09 16:55:30.150000,56127702
U010,10%,198427,1000,15.324,NO,KAP12_U010_S198427_1000.csv,2026-09-09 16:56:02.237000,56127706
U010,10%,198427,1050,13.908,NO,KAP12_U010_S198427_1050.csv,2026-09-09 16:56:34.217000,56127713
U010,10%,198427,1100,15.823,NO,KAP12_U010_S198427_1100.csv,2026-09-09 16:57:06.197000,56127723
U010,10%,198427,1150,14.491,NO,KAP12_U010_S198427_1150.csv,2026-09-09 16:57:38.150000,56127731
U010,10%,198427,1200,16.49,NO,KAP12_U010_S198427_1200.csv,2026-09-09 16:58:10.210000,56127745
U010,10%,198427,1250,15.49,NO,KAP12_U010_S198427_1250.csv,2026-09-09 16:58:42.153000,56127752
U010,10%,198427,1300,17.655,NO,KAP12_U010_S198427_1300.csv,2026-09-09 16:59:14.120000,56127765
U005,5%,198427,800,4.497,NO,KAP12_U005_S198427_800.csv,2026-09-09 18:05:00.393000,56128771
U005,5%,198427,850,6.079,NO,KAP12_U005_S198427_850.csv,2026-09-09 18:05:32.377000,56128782
U005,5%,198427,900,7.828,NO,KAP12_U005_S198427_900.csv,2026-09-09 18:06:04.467000,56128794
U005,5%,198427,950,9.827,NO,KAP12_U005_S198427_950.csv,2026-09-09 18:06:36.557000,56128811
U005,5%,198427,1000,11.909,NO,KAP12_U005_S198427_1000.csv,2026-09-09 18:07:08.527000,56128820
U005,5%,198427,1050,13.908,NO,KAP12_U005_S198427_1050.csv,2026-09-09 18:07:40.453000,56128830
U005,5%,198427,1100,19.071,SI,KAP12_U005_S198427_1100.csv,2026-09-09 18:08:12.463000,56128842
U005,5%,198427,1150,17.739,NO,KAP12_U005_S198427_1150.csv,2026-09-09 18:08:44.360000,56128849
U005,5%,198427,1200,16.739,NO,KAP12_U005_S198427_1200.csv,2026-09-09 18:09:16.333000,56128857
U005,5%,198427,1250,19.071,SI,KAP12_U005_S198427_1250.csv,2026-09-09 18:09:48.293000,56128871
U005,5%,198427,1300,18.322,NO,KAP12_U005_S198427_1300.csv,2026-09-09 18:10:20.410000,56128877
U001,1%,198427,800,17.239,NO,KAP12_U001_S198427_800.csv,2026-09-09 18:16:43.110000,56128958
U001,1%,198427,850,16.156,NO,KAP12_U001_S198427_850.csv,2026-09-09 18:17:15.060000,56128964
U001,1%,198427,900,18.155,SI,KAP12_U001_S198427_900.csv,2026-09-09 18:17:46.987000,56128969
U001,1%,198427,950,16.739,NO,KAP12_U001_S198427_950.csv,2026-09-09 18:18:18.913000,56128976
U001,1%,198427,1000,15.157,NO,KAP12_U001_S198427_1000.csv,2026-09-09 18:18:50.857000,56128982
U001,1%,198427,1050,13.824,NO,KAP12_U001_S198427_1050.csv,2026-09-09 18:19:22.773000,56128989
U001,1%,198427,1100,12.325,NO,KAP12_U001_S198427_1100.csv,2026-09-09 18:19:54.700000,56128997
U001,1%,198427,1150,14.657,NO,KAP12_U001_S198427_1150.csv,2026-09-09 18:20:26.707000,56129001
U001,1%,198427,1200,13.408,NO,KAP12_U001_S198427_1200.csv,2026-09-09 18:20:58.630000,56129010
U001,1%,198427,1250,12.325,NO,KAP12_U001_S198427_1250.csv,2026-09-09 18:21:30.640000,56129014
U001,1%,198427,1300,11.326,NO,KAP12_U001_S198427_1300.csv,2026-09-09 18:22:02.727000,56129024
