escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,480013,800,20.737,NO,KAP12_B100_S480013_800.csv,2026-09-09 21:46:39.793000,56131320
B100,100%,480013,850,22.486,SI,KAP12_B100_S480013_850.csv,2026-09-09 21:47:11.740000,56131328
B100,100%,480013,900,21.57,NO,KAP12_B100_S480013_900.csv,2026-09-09 21:47:43.657000,56131340
B100,100%,480013,950,20.654,NO,KAP12_B100_S480013_950.csv,2026-09-09 21:48:15.597000,56131346
B100,100%,480013,1000,19.321,NO,KAP12_B100_S480013_1000.csv,2026-09-09 21:48:47.620000,56131353
B100,100%,480013,1050,18.738,NO,KAP12_B100_S480013_1050.csv,2026-09-09 21:49:19.557000,56131359
B100,100%,480013,1100,17.156,NO,KAP12_B100_S480013_1100.csv,2026-09-09 21:49:51.740000,56131363
B100,100%,480013,1150,15.407,NO,KAP12_B100_S480013_1150.csv,2026-09-09 21:50:24.273000,56131369
B100,100%,480013,1200,14.074,NO,KAP12_B100_S480013_1200.csv,2026-09-09 21:50:56.637000,56131372
B100,100%,480013,1250,16.156,NO,KAP12_B100_S480013_1250.csv,2026-09-09 21:51:28.830000,56131377
B100,100%,480013,1300,14.824,NO,KAP12_B100_S480013_1300.csv,2026-09-09 21:52:01.270000,56131385
U040,40%,480013,800,21.153,SI,KAP12_U040_S480013_800.csv,2026-09-10 18:17:31.223000,56149675
U040,40%,480013,850,19.821,NO,KAP12_U040_S480013_850.csv,2026-09-10 18:18:03.293000,56149678
U040,40%,480013,900,18.738,NO,KAP12_U040_S480013_900.csv,2026-09-10 18:18:35.353000,56149687
U040,40%,480013,950,20.487,NO,KAP12_U040_S480013_950.csv,2026-09-10 18:19:07.470000,56149693
U040,40%,480013,1000,19.238,NO,KAP12_U040_S480013_1000.csv,2026-09-10 18:19:39.583000,56149700
U040,40%,480013,1050,17.322,NO,KAP12_U040_S480013_1050.csv,2026-09-10 18:20:11.790000,56149705
U040,40%,480013,1100,16.49,NO,KAP12_U040_S480013_1100.csv,2026-09-10 18:20:43.817000,56149713
U040,40%,480013,1150,14.99,NO,KAP12_U040_S480013_1150.csv,2026-09-10 18:21:15.873000,56149717
U040,40%,480013,1200,13.824,NO,KAP12_U040_S480013_1200.csv,2026-09-10 18:21:48.060000,56149722
U040,40%,480013,1250,12.325,NO,KAP12_U040_S480013_1250.csv,2026-09-10 18:22:20.200000,56149727
U040,40%,480013,1300,14.657,NO,KAP12_U040_S480013_1300.csv,2026-09-10 18:22:52.363000,56149733
U010,10%,480013,800,17.989,NO,KAP12_U010_S480013_800.csv,2026-09-10 19:29:40.373000,56150549
U010,10%,480013,850,19.987,SI,KAP12_U010_S480013_850.csv,2026-09-10 19:30:12.453000,56150557
U010,10%,480013,900,18.238,NO,KAP12_U010_S480013_900.csv,2026-09-10 19:30:44.470000,56150561
U010,10%,480013,950,16.656,NO,KAP12_U010_S480013_950.csv,2026-09-10 19:31:16.463000,56150571
U010,10%,480013,1000,18.655,NO,KAP12_U010_S480013_1000.csv,2026-09-10 19:31:48.430000,56150579
U010,10%,480013,1050,17.239,NO,KAP12_U010_S480013_1050.csv,2026-09-10 19:32:20.477000,56150587
U010,10%,480013,1100,16.073,NO,KAP12_U010_S480013_1100.csv,2026-09-10 19:32:52.460000,56150592
U010,10%,480013,1150,14.657,NO,KAP12_U010_S480013_1150.csv,2026-09-10 19:33:24.430000,56150599
U010,10%,480013,1200,13.658,NO,KAP12_U010_S480013_1200.csv,2026-09-10 19:33:56.410000,56150605
U010,10%,480013,1250,11.992,NO,KAP12_U010_S480013_1250.csv,2026-09-10 19:34:28.507000,56150610
U010,10%,480013,1300,11.243,NO,KAP12_U010_S480013_1300.csv,2026-09-10 19:35:00.607000,56150615
U005,5%,480013,800,14.407,NO,KAP12_U005_S480013_800.csv,2026-09-11 17:49:43.110000,56170359
U005,5%,480013,850,12.825,NO,KAP12_U005_S480013_850.csv,2026-09-11 17:50:15.217000,56170373
U005,5%,480013,900,17.989,NO,KAP12_U005_S480013_900.csv,2026-09-11 17:50:47.087000,56170385
U005,5%,480013,950,20.404,SI,KAP12_U005_S480013_950.csv,2026-09-11 17:51:19.043000,56170394
U005,5%,480013,1000,19.321,NO,KAP12_U005_S480013_1000.csv,2026-09-11 17:51:51.013000,56170407
U005,5%,480013,1050,18.238,NO,KAP12_U005_S480013_1050.csv,2026-09-11 17:52:23.147000,56170423
U005,5%,480013,1100,17.239,NO,KAP12_U005_S480013_1100.csv,2026-09-11 17:52:55.217000,56170431
U005,5%,480013,1150,18.821,NO,KAP12_U005_S480013_1150.csv,2026-09-11 17:53:27.123000,56170437
U005,5%,480013,1200,16.989,NO,KAP12_U005_S480013_1200.csv,2026-09-11 17:53:59.167000,56170451
U005,5%,480013,1250,15.573,NO,KAP12_U005_S480013_1250.csv,2026-09-11 17:54:31.300000,56170463
U005,5%,480013,1300,14.491,NO,KAP12_U005_S480013_1300.csv,2026-09-11 17:55:03.427000,56170470
U001,1%,480013,800,14.324,NO,KAP12_U001_S480013_800.csv,2026-09-11 18:39:13.827000,56171109
U001,1%,480013,850,16.073,NO,KAP12_U001_S480013_850.csv,2026-09-11 18:39:45.797000,56171118
U001,1%,480013,900,17.822,NO,KAP12_U001_S480013_900.csv,2026-09-11 18:40:17.770000,56171123
U001,1%,480013,950,16.989,NO,KAP12_U001_S480013_950.csv,2026-09-11 18:40:49.917000,56171135
U001,1%,480013,1000,18.988,NO,KAP12_U001_S480013_1000.csv,2026-09-11 18:41:21.923000,56171148
U001,1%,480013,1050,17.989,NO,KAP12_U001_S480013_1050.csv,2026-09-11 18:41:53.940000,56171155
U001,1%,480013,1100,20.237,SI,KAP12_U001_S480013_1100.csv,2026-09-11 18:42:25.920000,56171159
U001,1%,480013,1150,18.405,NO,KAP12_U001_S480013_1150.csv,2026-09-11 18:42:57.953000,56171163
U001,1%,480013,1200,16.823,NO,KAP12_U001_S480013_1200.csv,2026-09-11 18:43:29.897000,56171168
U001,1%,480013,1250,15.657,NO,KAP12_U001_S480013_1250.csv,2026-09-11 18:44:01.913000,56171179
U001,1%,480013,1300,14.657,NO,KAP12_U001_S480013_1300.csv,2026-09-11 18:44:33.923000,56171185
