escenario_codigo,escenario,semilla,corte_maximo,ganancia_maxima,cantidad_empates,AUC,num_leaves,min_data_in_leaf,num_iterations,training_antes,training_despues,positivos_antes,positivos_despues,negativos_antes,negativos_despues,porcentaje_real_conservado,duracion_minutos,param_yml
B100,100%,480013,850,22.486,1,0.9550061,256.0,256.0,421,179449,179449,1673,1673,177776,177776,100.0,13.45,/home/ds/buckets/b1/exp/WFP12_B100_S480013/PARAM.yml
U040,40%,480013,800,21.153,1,0.952083,256.0,64.0,301,179449,72923,1673,1673,177776,71250,40.6372,10.73,/home/ds/buckets/b1/exp/WFP12_U040_S480013/PARAM.yml
U010,10%,480013,850,19.987,1,0.9487565,128.0,64.0,271,179449,19492,1673,1673,177776,17819,10.8621,8.42,/home/ds/buckets/b1/exp/WFP12_U010_S480013/PARAM.yml
U005,5%,480013,950,20.404,1,0.9488454,256.0,64.0,629,179449,10588,1673,1673,177776,8915,5.9003,8.21,/home/ds/buckets/b1/exp/WFP12_U005_S480013/PARAM.yml
U001,1%,480013,1100,20.237,1,0.9424601,64.0,64.0,655,179449,3471,1673,1673,177776,1798,1.9343,7.13,/home/ds/buckets/b1/exp/WFP12_U001_S480013/PARAM.yml
