ref,fileName,date,description,status,publicScore,privateScore
56131353,KAP12_B100_S480013_1000.csv,2026-09-09 21:48:47.620000,envios=1000  semilla=480013,SubmissionStatus.COMPLETE,19.321,
56131359,KAP12_B100_S480013_1050.csv,2026-09-09 21:49:19.557000,envios=1050  semilla=480013,SubmissionStatus.COMPLETE,18.738,
56131363,KAP12_B100_S480013_1100.csv,2026-09-09 21:49:51.740000,envios=1100  semilla=480013,SubmissionStatus.COMPLETE,17.156,
56131369,KAP12_B100_S480013_1150.csv,2026-09-09 21:50:24.273000,envios=1150  semilla=480013,SubmissionStatus.COMPLETE,15.407,
56131372,KAP12_B100_S480013_1200.csv,2026-09-09 21:50:56.637000,envios=1200  semilla=480013,SubmissionStatus.COMPLETE,14.074,
56131377,KAP12_B100_S480013_1250.csv,2026-09-09 21:51:28.830000,envios=1250  semilla=480013,SubmissionStatus.COMPLETE,16.156,
56131385,KAP12_B100_S480013_1300.csv,2026-09-09 21:52:01.270000,envios=1300  semilla=480013,SubmissionStatus.COMPLETE,14.824,
56131320,KAP12_B100_S480013_800.csv,2026-09-09 21:46:39.793000,envios=800  semilla=480013,SubmissionStatus.COMPLETE,20.737,
56131328,KAP12_B100_S480013_850.csv,2026-09-09 21:47:11.740000,envios=850  semilla=480013,SubmissionStatus.COMPLETE,22.486,
56131340,KAP12_B100_S480013_900.csv,2026-09-09 21:47:43.657000,envios=900  semilla=480013,SubmissionStatus.COMPLETE,21.570,
56131346,KAP12_B100_S480013_950.csv,2026-09-09 21:48:15.597000,envios=950  semilla=480013,SubmissionStatus.COMPLETE,20.654,
56171148,KAP12_U001_S480013_1000.csv,2026-09-11 18:41:21.923000,envios=1000  semilla=480013,SubmissionStatus.COMPLETE,18.988,
56171155,KAP12_U001_S480013_1050.csv,2026-09-11 18:41:53.940000,envios=1050  semilla=480013,SubmissionStatus.COMPLETE,17.989,
56171159,KAP12_U001_S480013_1100.csv,2026-09-11 18:42:25.920000,envios=1100  semilla=480013,SubmissionStatus.COMPLETE,20.237,
56171163,KAP12_U001_S480013_1150.csv,2026-09-11 18:42:57.953000,envios=1150  semilla=480013,SubmissionStatus.COMPLETE,18.405,
56171168,KAP12_U001_S480013_1200.csv,2026-09-11 18:43:29.897000,envios=1200  semilla=480013,SubmissionStatus.COMPLETE,16.823,
56171179,KAP12_U001_S480013_1250.csv,2026-09-11 18:44:01.913000,envios=1250  semilla=480013,SubmissionStatus.COMPLETE,15.657,
56171185,KAP12_U001_S480013_1300.csv,2026-09-11 18:44:33.923000,envios=1300  semilla=480013,SubmissionStatus.COMPLETE,14.657,
56171109,KAP12_U001_S480013_800.csv,2026-09-11 18:39:13.827000,envios=800  semilla=480013,SubmissionStatus.COMPLETE,14.324,
56171118,KAP12_U001_S480013_850.csv,2026-09-11 18:39:45.797000,envios=850  semilla=480013,SubmissionStatus.COMPLETE,16.073,
56171123,KAP12_U001_S480013_900.csv,2026-09-11 18:40:17.770000,envios=900  semilla=480013,SubmissionStatus.COMPLETE,17.822,
56171135,KAP12_U001_S480013_950.csv,2026-09-11 18:40:49.917000,envios=950  semilla=480013,SubmissionStatus.COMPLETE,16.989,
56170407,KAP12_U005_S480013_1000.csv,2026-09-11 17:51:51.013000,envios=1000  semilla=480013,SubmissionStatus.COMPLETE,19.321,
56170423,KAP12_U005_S480013_1050.csv,2026-09-11 17:52:23.147000,envios=1050  semilla=480013,SubmissionStatus.COMPLETE,18.238,
56170431,KAP12_U005_S480013_1100.csv,2026-09-11 17:52:55.217000,envios=1100  semilla=480013,SubmissionStatus.COMPLETE,17.239,
56170437,KAP12_U005_S480013_1150.csv,2026-09-11 17:53:27.123000,envios=1150  semilla=480013,SubmissionStatus.COMPLETE,18.821,
56170451,KAP12_U005_S480013_1200.csv,2026-09-11 17:53:59.167000,envios=1200  semilla=480013,SubmissionStatus.COMPLETE,16.989,
56170463,KAP12_U005_S480013_1250.csv,2026-09-11 17:54:31.300000,envios=1250  semilla=480013,SubmissionStatus.COMPLETE,15.573,
56170470,KAP12_U005_S480013_1300.csv,2026-09-11 17:55:03.427000,envios=1300  semilla=480013,SubmissionStatus.COMPLETE,14.491,
56170359,KAP12_U005_S480013_800.csv,2026-09-11 17:49:43.110000,envios=800  semilla=480013,SubmissionStatus.COMPLETE,14.407,
56170373,KAP12_U005_S480013_850.csv,2026-09-11 17:50:15.217000,envios=850  semilla=480013,SubmissionStatus.COMPLETE,12.825,
56170385,KAP12_U005_S480013_900.csv,2026-09-11 17:50:47.087000,envios=900  semilla=480013,SubmissionStatus.COMPLETE,17.989,
56170394,KAP12_U005_S480013_950.csv,2026-09-11 17:51:19.043000,envios=950  semilla=480013,SubmissionStatus.COMPLETE,20.404,
56150579,KAP12_U010_S480013_1000.csv,2026-09-10 19:31:48.430000,envios=1000  semilla=480013,SubmissionStatus.COMPLETE,18.655,
56150587,KAP12_U010_S480013_1050.csv,2026-09-10 19:32:20.477000,envios=1050  semilla=480013,SubmissionStatus.COMPLETE,17.239,
56150592,KAP12_U010_S480013_1100.csv,2026-09-10 19:32:52.460000,envios=1100  semilla=480013,SubmissionStatus.COMPLETE,16.073,
56150599,KAP12_U010_S480013_1150.csv,2026-09-10 19:33:24.430000,envios=1150  semilla=480013,SubmissionStatus.COMPLETE,14.657,
56150605,KAP12_U010_S480013_1200.csv,2026-09-10 19:33:56.410000,envios=1200  semilla=480013,SubmissionStatus.COMPLETE,13.658,
56150610,KAP12_U010_S480013_1250.csv,2026-09-10 19:34:28.507000,envios=1250  semilla=480013,SubmissionStatus.COMPLETE,11.992,
56150615,KAP12_U010_S480013_1300.csv,2026-09-10 19:35:00.607000,envios=1300  semilla=480013,SubmissionStatus.COMPLETE,11.243,
56150549,KAP12_U010_S480013_800.csv,2026-09-10 19:29:40.373000,envios=800  semilla=480013,SubmissionStatus.COMPLETE,17.989,
56150557,KAP12_U010_S480013_850.csv,2026-09-10 19:30:12.453000,envios=850  semilla=480013,SubmissionStatus.COMPLETE,19.987,
56150561,KAP12_U010_S480013_900.csv,2026-09-10 19:30:44.470000,envios=900  semilla=480013,SubmissionStatus.COMPLETE,18.238,
56150571,KAP12_U010_S480013_950.csv,2026-09-10 19:31:16.463000,envios=950  semilla=480013,SubmissionStatus.COMPLETE,16.656,
56149700,KAP12_U040_S480013_1000.csv,2026-09-10 18:19:39.583000,envios=1000  semilla=480013,SubmissionStatus.COMPLETE,19.238,
56149705,KAP12_U040_S480013_1050.csv,2026-09-10 18:20:11.790000,envios=1050  semilla=480013,SubmissionStatus.COMPLETE,17.322,
56149713,KAP12_U040_S480013_1100.csv,2026-09-10 18:20:43.817000,envios=1100  semilla=480013,SubmissionStatus.COMPLETE,16.490,
56149717,KAP12_U040_S480013_1150.csv,2026-09-10 18:21:15.873000,envios=1150  semilla=480013,SubmissionStatus.COMPLETE,14.990,
56149722,KAP12_U040_S480013_1200.csv,2026-09-10 18:21:48.060000,envios=1200  semilla=480013,SubmissionStatus.COMPLETE,13.824,
56149727,KAP12_U040_S480013_1250.csv,2026-09-10 18:22:20.200000,envios=1250  semilla=480013,SubmissionStatus.COMPLETE,12.325,
