ref,fileName,date,description,status,publicScore,privateScore
56131970,KAP12_B100_S839999_1000.csv,2026-09-09 22:44:23.150000,envios=1000  semilla=839999,SubmissionStatus.COMPLETE,15.907,
56131974,KAP12_B100_S839999_1050.csv,2026-09-09 22:44:55.107000,envios=1050  semilla=839999,SubmissionStatus.COMPLETE,17.572,
56131983,KAP12_B100_S839999_1100.csv,2026-09-09 22:45:27.067000,envios=1100  semilla=839999,SubmissionStatus.COMPLETE,16.323,
56131990,KAP12_B100_S839999_1150.csv,2026-09-09 22:45:59.103000,envios=1150  semilla=839999,SubmissionStatus.COMPLETE,15.324,
56131996,KAP12_B100_S839999_1200.csv,2026-09-09 22:46:31.003000,envios=1200  semilla=839999,SubmissionStatus.COMPLETE,14.158,
56132001,KAP12_B100_S839999_1250.csv,2026-09-09 22:47:03.090000,envios=1250  semilla=839999,SubmissionStatus.COMPLETE,16.323,
56132007,KAP12_B100_S839999_1300.csv,2026-09-09 22:47:34.997000,envios=1300  semilla=839999,SubmissionStatus.COMPLETE,15.407,
56131953,KAP12_B100_S839999_800.csv,2026-09-09 22:42:15.260000,envios=800  semilla=839999,SubmissionStatus.COMPLETE,17.739,
56131956,KAP12_B100_S839999_850.csv,2026-09-09 22:42:47.170000,envios=850  semilla=839999,SubmissionStatus.COMPLETE,19.404,
56131959,KAP12_B100_S839999_900.csv,2026-09-09 22:43:19.130000,envios=900  semilla=839999,SubmissionStatus.COMPLETE,18.322,
56131966,KAP12_B100_S839999_950.csv,2026-09-09 22:43:51.023000,envios=950  semilla=839999,SubmissionStatus.COMPLETE,16.989,
56175998,KAP12_U001_S839999_1000.csv,2026-09-12 01:38:29.513000,envios=1000  semilla=839999,SubmissionStatus.COMPLETE,18.988,
56176004,KAP12_U001_S839999_1050.csv,2026-09-12 01:39:01.390000,envios=1050  semilla=839999,SubmissionStatus.COMPLETE,17.989,
56176015,KAP12_U001_S839999_1100.csv,2026-09-12 01:39:33.333000,envios=1100  semilla=839999,SubmissionStatus.COMPLETE,16.906,
56176020,KAP12_U001_S839999_1150.csv,2026-09-12 01:40:05.270000,envios=1150  semilla=839999,SubmissionStatus.COMPLETE,15.573,
56176028,KAP12_U001_S839999_1200.csv,2026-09-12 01:40:37.290000,envios=1200  semilla=839999,SubmissionStatus.COMPLETE,14.574,
56176034,KAP12_U001_S839999_1250.csv,2026-09-12 01:41:09.480000,envios=1250  semilla=839999,SubmissionStatus.COMPLETE,13.658,
56176044,KAP12_U001_S839999_1300.csv,2026-09-12 01:41:41.570000,envios=1300  semilla=839999,SubmissionStatus.COMPLETE,15.657,
56175963,KAP12_U001_S839999_800.csv,2026-09-12 01:36:21.450000,envios=800  semilla=839999,SubmissionStatus.COMPLETE,17.739,
56175973,KAP12_U001_S839999_850.csv,2026-09-12 01:36:53.393000,envios=850  semilla=839999,SubmissionStatus.COMPLETE,16.156,
56175985,KAP12_U001_S839999_900.csv,2026-09-12 01:37:25.440000,envios=900  semilla=839999,SubmissionStatus.COMPLETE,18.072,
56175991,KAP12_U001_S839999_950.csv,2026-09-12 01:37:57.513000,envios=950  semilla=839999,SubmissionStatus.COMPLETE,17.073,
56170747,KAP12_U005_S839999_1000.csv,2026-09-11 18:12:34.013000,envios=1000  semilla=839999,SubmissionStatus.COMPLETE,15.823,
56170753,KAP12_U005_S839999_1050.csv,2026-09-11 18:13:06.050000,envios=1050  semilla=839999,SubmissionStatus.COMPLETE,14.574,
56170769,KAP12_U005_S839999_1100.csv,2026-09-11 18:13:37.977000,envios=1100  semilla=839999,SubmissionStatus.COMPLETE,16.406,
56170778,KAP12_U005_S839999_1150.csv,2026-09-11 18:14:09.953000,envios=1150  semilla=839999,SubmissionStatus.COMPLETE,15.490,
56170781,KAP12_U005_S839999_1200.csv,2026-09-11 18:14:41.933000,envios=1200  semilla=839999,SubmissionStatus.COMPLETE,14.407,
56170786,KAP12_U005_S839999_1250.csv,2026-09-11 18:15:13.937000,envios=1250  semilla=839999,SubmissionStatus.COMPLETE,13.241,
56170794,KAP12_U005_S839999_1300.csv,2026-09-11 18:15:45.960000,envios=1300  semilla=839999,SubmissionStatus.COMPLETE,14.824,
56170713,KAP12_U005_S839999_800.csv,2026-09-11 18:10:25.340000,envios=800  semilla=839999,SubmissionStatus.COMPLETE,14.741,
56170721,KAP12_U005_S839999_850.csv,2026-09-11 18:10:57.483000,envios=850  semilla=839999,SubmissionStatus.COMPLETE,16.156,
56170729,KAP12_U005_S839999_900.csv,2026-09-11 18:11:29.953000,envios=900  semilla=839999,SubmissionStatus.COMPLETE,18.322,
56170738,KAP12_U005_S839999_950.csv,2026-09-11 18:12:01.873000,envios=950  semilla=839999,SubmissionStatus.COMPLETE,16.989,
56150839,KAP12_U010_S839999_1000.csv,2026-09-10 19:54:34.740000,envios=1000  semilla=839999,SubmissionStatus.COMPLETE,15.740,
56150844,KAP12_U010_S839999_1050.csv,2026-09-10 19:55:06.687000,envios=1050  semilla=839999,SubmissionStatus.COMPLETE,17.989,
56150850,KAP12_U010_S839999_1100.csv,2026-09-10 19:55:38.793000,envios=1100  semilla=839999,SubmissionStatus.COMPLETE,16.240,
56150854,KAP12_U010_S839999_1150.csv,2026-09-10 19:56:10.943000,envios=1150  semilla=839999,SubmissionStatus.COMPLETE,15.324,
56150862,KAP12_U010_S839999_1200.csv,2026-09-10 19:56:43.117000,envios=1200  semilla=839999,SubmissionStatus.COMPLETE,14.324,
56150866,KAP12_U010_S839999_1250.csv,2026-09-10 19:57:15.267000,envios=1250  semilla=839999,SubmissionStatus.COMPLETE,12.908,
56150873,KAP12_U010_S839999_1300.csv,2026-09-10 19:57:47.337000,envios=1300  semilla=839999,SubmissionStatus.COMPLETE,14.824,
56150822,KAP12_U010_S839999_800.csv,2026-09-10 19:52:26.657000,envios=800  semilla=839999,SubmissionStatus.COMPLETE,14.657,
56150826,KAP12_U010_S839999_850.csv,2026-09-10 19:52:58.673000,envios=850  semilla=839999,SubmissionStatus.COMPLETE,16.240,
56150828,KAP12_U010_S839999_900.csv,2026-09-10 19:53:30.637000,envios=900  semilla=839999,SubmissionStatus.COMPLETE,18.322,
56150835,KAP12_U010_S839999_950.csv,2026-09-10 19:54:02.800000,envios=950  semilla=839999,SubmissionStatus.COMPLETE,17.073,
56150100,KAP12_U040_S839999_1000.csv,2026-09-10 18:52:09.480000,envios=1000  semilla=839999,SubmissionStatus.COMPLETE,15.657,
56150107,KAP12_U040_S839999_1050.csv,2026-09-10 18:52:41.540000,envios=1050  semilla=839999,SubmissionStatus.COMPLETE,14.407,
56150116,KAP12_U040_S839999_1100.csv,2026-09-10 18:53:13.493000,envios=1100  semilla=839999,SubmissionStatus.COMPLETE,16.656,
56150122,KAP12_U040_S839999_1150.csv,2026-09-10 18:53:45.493000,envios=1150  semilla=839999,SubmissionStatus.COMPLETE,15.240,
56150128,KAP12_U040_S839999_1200.csv,2026-09-10 18:54:17.443000,envios=1200  semilla=839999,SubmissionStatus.COMPLETE,14.657,
56150137,KAP12_U040_S839999_1250.csv,2026-09-10 18:54:49.613000,envios=1250  semilla=839999,SubmissionStatus.COMPLETE,13.658,
56150141,KAP12_U040_S839999_1300.csv,2026-09-10 18:55:21.640000,envios=1300  semilla=839999,SubmissionStatus.COMPLETE,15.823,
56150084,KAP12_U040_S839999_800.csv,2026-09-10 18:50:01.223000,envios=800  semilla=839999,SubmissionStatus.COMPLETE,14.407,
56150089,KAP12_U040_S839999_850.csv,2026-09-10 18:50:33.337000,envios=850  semilla=839999,SubmissionStatus.COMPLETE,16.156,
56150095,KAP12_U040_S839999_900.csv,2026-09-10 18:51:05.407000,envios=900  semilla=839999,SubmissionStatus.COMPLETE,15.157,
56150097,KAP12_U040_S839999_950.csv,2026-09-10 18:51:37.377000,envios=950  semilla=839999,SubmissionStatus.COMPLETE,17.239,
