ref,fileName,date,description,status,publicScore,privateScore
56177446,KAP12_B100_S742801_1000.csv,2026-09-12 03:19:55.330000,envios=1000  semilla=742801,SubmissionStatus.COMPLETE,19.071,
56177457,KAP12_B100_S742801_1050.csv,2026-09-12 03:20:27.500000,envios=1050  semilla=742801,SubmissionStatus.COMPLETE,17.822,
56177465,KAP12_B100_S742801_1100.csv,2026-09-12 03:20:59.557000,envios=1100  semilla=742801,SubmissionStatus.COMPLETE,19.738,
56177470,KAP12_B100_S742801_1150.csv,2026-09-12 03:21:31.663000,envios=1150  semilla=742801,SubmissionStatus.COMPLETE,18.905,
56177476,KAP12_B100_S742801_1200.csv,2026-09-12 03:22:03.797000,envios=1200  semilla=742801,SubmissionStatus.COMPLETE,17.322,
56177484,KAP12_B100_S742801_1250.csv,2026-09-12 03:22:35.850000,envios=1250  semilla=742801,SubmissionStatus.COMPLETE,15.907,
56177494,KAP12_B100_S742801_1300.csv,2026-09-12 03:23:08.010000,envios=1300  semilla=742801,SubmissionStatus.COMPLETE,14.574,
56177408,KAP12_B100_S742801_800.csv,2026-09-12 03:17:46.593000,envios=800  semilla=742801,SubmissionStatus.COMPLETE,13.741,
56177419,KAP12_B100_S742801_850.csv,2026-09-12 03:18:18.853000,envios=850  semilla=742801,SubmissionStatus.COMPLETE,12.409,
56177425,KAP12_B100_S742801_900.csv,2026-09-12 03:18:51.047000,envios=900  semilla=742801,SubmissionStatus.COMPLETE,11.409,
56177432,KAP12_B100_S742801_950.csv,2026-09-12 03:19:23.093000,envios=950  semilla=742801,SubmissionStatus.COMPLETE,16.989,
56178029,KAP12_U001_S742801_1000.csv,2026-09-12 03:53:55.007000,envios=1000  semilla=742801,SubmissionStatus.COMPLETE,15.657,
56178038,KAP12_U001_S742801_1050.csv,2026-09-12 03:54:27.123000,envios=1050  semilla=742801,SubmissionStatus.COMPLETE,17.489,
56178048,KAP12_U001_S742801_1100.csv,2026-09-12 03:54:59.300000,envios=1100  semilla=742801,SubmissionStatus.COMPLETE,15.990,
56178056,KAP12_U001_S742801_1150.csv,2026-09-12 03:55:31.323000,envios=1150  semilla=742801,SubmissionStatus.COMPLETE,14.824,
56178067,KAP12_U001_S742801_1200.csv,2026-09-12 03:56:03.623000,envios=1200  semilla=742801,SubmissionStatus.COMPLETE,13.908,
56178075,KAP12_U001_S742801_1250.csv,2026-09-12 03:56:35.890000,envios=1250  semilla=742801,SubmissionStatus.COMPLETE,12.575,
56178081,KAP12_U001_S742801_1300.csv,2026-09-12 03:57:07.993000,envios=1300  semilla=742801,SubmissionStatus.COMPLETE,17.989,
56177989,KAP12_U001_S742801_800.csv,2026-09-12 03:51:46.503000,envios=800  semilla=742801,SubmissionStatus.COMPLETE,17.822,
56177995,KAP12_U001_S742801_850.csv,2026-09-12 03:52:18.637000,envios=850  semilla=742801,SubmissionStatus.COMPLETE,16.490,
56178003,KAP12_U001_S742801_900.csv,2026-09-12 03:52:50.807000,envios=900  semilla=742801,SubmissionStatus.COMPLETE,15.490,
56178018,KAP12_U001_S742801_950.csv,2026-09-12 03:53:22.933000,envios=950  semilla=742801,SubmissionStatus.COMPLETE,13.741,
56177902,KAP12_U005_S742801_1000.csv,2026-09-12 03:46:18.537000,envios=1000  semilla=742801,SubmissionStatus.COMPLETE,18.655,
