"codigo","escenario","n_semillas","ganancia_media","ganancia_mediana","ganancia_sd","ganancia_min","ganancia_max","AUC_medio","registros_medios","pct_real_medio","tiempo_medio_min","CV_pct","orden_estabilidad"
"B100","100%",12,20.9035,21.0285,1.84660112836333,17.572,24.068,0.95331335,179449,100,14.7441666666667,8.83393273070697,3
"U040","40%",12,20.9244166666667,20.9035,1.91484001032763,17.239,24.235,0.9523651,72863.75,40.60415,10.9308333333333,9.15122290304053,4
"U010","10%",12,20.7439166666667,20.487,1.48531676807176,18.322,22.902,0.950246916666667,19473.25,10.8516833333333,8.4225,7.16025228957131,1
"U005","5%",12,20.2580833333333,20.3625,1.54887246134572,17.572,22.986,0.948990375,10600.8333333333,5.90743333333333,7.92416666666667,7.6457009079292,2
"U001","1%",12,20.5218333333333,20.4455,2.5656121308687,15.74,24.318,0.942695783333333,3477.25,1.937725,7.28166666666667,12.5018661305538,5
