"sem_nro","semilla","ejecutado_por","escenario_codigo","escenario","training_pct","training_antes","training_despues","porcentaje_real_conservado","AUC","num_leaves","min_data_in_leaf","num_iterations","ganancia_maxima","corte_maximo","cantidad_empates","duracion_minutos","archivo_fuente"
9,299993,"David","B100","100%",1,179449,179449,100,0.9522531,256,64,226,24.068,"800",1,20.57,"resumen_integrado_SEM9_299993.csv"
9,299993,"David","U040","40%",0.4,179449,72787,40.5614,0.9519108,128,64,233,24.235,"800",1,9.68,"resumen_integrado_SEM9_299993.csv"
9,299993,"David","U010","10%",0.1,179449,19328,10.7707,0.9511079,128,64,431,20.154,"950",1,8.64,"resumen_integrado_SEM9_299993.csv"
9,299993,"David","U005","5%",0.05,179449,10706,5.966,0.9506772,128,64,509,19.321,"1000",1,7.78,"resumen_integrado_SEM9_299993.csv"
9,299993,"David","U001","1%",0.01,179449,3546,1.976,0.9425672,64,64,237,24.318,"800",1,6.88,"resumen_integrado_SEM9_299993.csv"
10,480013,"David","B100","100%",1,179449,179449,100,0.9550061,256,256,421,22.486,"850",1,13.45,"resumen_integrado_SEM10_480013.csv"
10,480013,"David","U040","40%",0.4,179449,72923,40.6372,0.952083,256,64,301,21.153,"800",1,10.73,"resumen_integrado_SEM10_480013.csv"
10,480013,"David","U010","10%",0.1,179449,19492,10.8621,0.9487565,128,64,271,19.987,"850",1,8.42,"resumen_integrado_SEM10_480013.csv"
10,480013,"David","U005","5%",0.05,179449,10588,5.9003,0.9488454,256,64,629,20.404,"950",1,8.21,"resumen_integrado_SEM10_480013.csv"
10,480013,"David","U001","1%",0.01,179449,3471,1.9343,0.9424601,64,64,655,20.237,"1100",1,7.13,"resumen_integrado_SEM10_480013.csv"
11,659999,"David","B100","100%",1,179449,179449,100,0.9539339,256,256,471,20.987,"1050",1,12.83,"resumen_integrado_SEM11_659999.csv"
11,659999,"David","U040","40%",0.4,179449,73217,40.801,0.9526547,512,64,766,21.32,"1300",1,11.68,"resumen_integrado_SEM11_659999.csv"
11,659999,"David","U010","10%",0.1,179449,19643,10.9463,0.9509292,128,64,301,22.819,"1100",1,8.13,"resumen_integrado_SEM11_659999.csv"
11,659999,"David","U005","5%",0.05,179449,10695,5.9599,0.9506082,128,64,463,19.904,"1100",1,8.02,"resumen_integrado_SEM11_659999.csv"
11,659999,"David","U001","1%",0.01,179449,3511,1.9565,0.9449802,64,64,1591,15.74,"850",1,7.97,"resumen_integrado_SEM11_659999.csv"
12,839999,"David","B100","100%",1,179449,179449,100,0.95354,512,64,444,19.404,"850",1,13.12,"resumen_integrado_SEM12_839999.csv"
12,839999,"David","U040","40%",0.4,179449,72591,40.4522,0.9523814,512,64,742,17.239,"950",1,10.84,"resumen_integrado_SEM12_839999.csv"
12,839999,"David","U010","10%",0.1,179449,19323,10.768,0.9493022,128,64,224,18.322,"900",1,8.22,"resumen_integrado_SEM12_839999.csv"
12,839999,"David","U005","5%",0.05,179449,10482,5.8412,0.9469755,256,64,215,18.322,"900",1,7.88,"resumen_integrado_SEM12_839999.csv"
12,839999,"David","U001","1%",0.01,179449,3473,1.9354,0.9448609,64,64,560,18.988,"1000",1,7.16,"resumen_integrado_SEM12_839999.csv"
