"semilla","sem_nro","ganancia_A","ganancia_B","escenario_A","escenario_B","delta_A_menos_B","resultado"
480013,10,19.987,20.237,"U010","U001",-0.25,"B gana"
602257,3,22.403,21.403,"U010","U001",1,"A gana"
659999,11,22.819,15.74,"U010","U001",7.079,"A gana"
683731,6,22.902,23.319,"U010","U001",-0.416999999999998,"B gana"
742801,7,19.571,17.989,"U010","U001",1.582,"A gana"
839999,12,18.322,18.988,"U010","U001",-0.666,"B gana"
895651,5,19.821,23.902,"U010","U001",-4.081,"B gana"
955939,2,21.07,20.404,"U010","U001",0.666,"A gana"
119993,8,22.986,21.32,"U005","U001",1.666,"A gana"
191099,4,21.07,20.487,"U005","U001",0.583000000000002,"A gana"
198427,1,19.071,18.155,"U005","U001",0.916,"A gana"
299993,9,19.321,24.318,"U005","U001",-4.997,"B gana"
480013,10,20.404,20.237,"U005","U001",0.167000000000002,"A gana"
602257,3,21.487,21.403,"U005","U001",0.0839999999999996,"A gana"
659999,11,19.904,15.74,"U005","U001",4.164,"A gana"
683731,6,22.069,23.319,"U005","U001",-1.25,"B gana"
742801,7,20.321,17.989,"U005","U001",2.332,"A gana"
839999,12,18.322,18.988,"U005","U001",-0.666,"B gana"
895651,5,17.572,23.902,"U005","U001",-6.33,"B gana"
955939,2,20.57,20.404,"U005","U001",0.166,"A gana"
